nestor notabilis
paroaria coronata
urocitellus parryii
tamandua tetradactyla
gallirallus australis greyi
apteryx australis mantelli
parahyaena brunnea
alouatta pigra
podargus strigoides
desmodus rotundus
bovicola caprae
ovis aries
cervus nippon
loxodonta africana
agelaius phoeniceus
lipoptena
casuarius casuarius
aceros corrugatus
rhea americana
geospiza difficilis septentrionalis
speothos venaticus
panthera onca
eudyptula minor minor
hypargos niveoguttatus
halcyon albiventris
buteo jamaicensis
empidomax minimus
camaroptera brachyura
shinisaurus crocodilurus
crocodylus rhombifer
strigops habroptilus
ammodramus maritimus
prionailurus viverrinus
hylomantis lemur or atelopus zeteki
phyllastrephus cerviniventris
struthio camelus
equus grevyi
tragulus napu
lemur catta
ninox novaeseelandiae
cercomela familiaris
anthropoides paradiseus
manis temmincki
tremarctos ornatus
eremophilla alpestris
diceros bicornis michaeli
sturnira lilium
ardeotis kori
centropus superciliosus
anas aucklandica chlorotis
sylvia borin
petromyzon marinus
suricata suricatta
archeopsylla
ixodes ricinus
ammodramus bairdii
lonchura fringilloides
cacatua galerita
varecia rubra
capra hircus
ailurus fulgens
merops pusillus
calamonastes stierlingi
calcarius ornatus
elephas maximus
tragelaphus strepsiceros
laniarius ferrugineus
pteromys volans
anas aucklandica nesiotis
pytilia melba
elephas maximus maximus
batis capensis
ploceus velatus
estrilda astrild
treron calvus
todiramphus cinnamominus
bubo lacteus
lamprotornis chalybaeus
anolis allisoni
coendou prehensilis
lanius collurio
streptopelia capicola
icteria virens
geospiza difficilis
panthera leo
ursus arctos syriacus
ducula bicolor
equus burchellii
anthus novaeseelandiae
alisterus scapularis
gorilla gorilla gorilla
malacochersus tornieri
cyanoramphus unicolor
pronolagus rupestris
anthreptes collaris
chondestes grammacus
ceratobatrachus guentheri
felis margarita
gerbillurus paeba
numida meleagris
cariama cristata
orycteropus afer
sarcophilus harrisii
chordeiles minor
hylomyscus stella
ara ararauna arini
merops boehmi
macroscelides proboscideus
boa constrictor
eudocimus ruber
pogona vitticeps
sarcoramphus papa
piranga rubra
passer domesticus
tolypeutes matacus
morelia viridis
lampropeltis getula
ixobrychus sturmii
aves sp
himantopus himantopus
ploceus ocularis
glaucidium perlatum
myotis lucifugus
nestor meridionalis
erethizon dorsatum
passerina ciris
charadrius obscurus
myrmecophaga tridactyla
mabuya sp
hippotragus niger
papio hamadryas
tockus erythrorhynchus
pongo abelii
oreothlypis ruficapilla
mystacina tuberculata
branchiostoma floridae
giraffa camelopardalis reticulata
dumetella carolinensis
iguana iguana
dromaius novaehollandiae
ornithodoros moubata
capra hircus hircus saanen
contopus virens
vireo gilvus
oryx gazella
graphiurus murinus
phacochoerus africanus
crocidura denti
lycaon pictus
estrilda melanotis
neophoca cinerea
equus caballus
spiza americana
rhacodactylus leachianus
rhinoceros unicornis
leontopithecus chrysomelas
tragelaphus eurycerus isaaci
tachycineta bicolor
zoothera gurneyi
anthernis melanura
urocitellus richardsonii
plegadis chihi
pheucticus chrysogaster
anolis barbatus
chrysolophus pictus
cacatua leadbeateri leadbeateri
equus zebra hartmannae
erythropygia paena
gerbilliscus brantsii
sheppardia sharpei
ramphastos toco
crax alberti
menacanthus eurysternus
papio papio
phoenicopterus chilensis
falco subbuteo
pyrocephalus rubinus
nyctereutes procyonoides
potos flavus
pediculus humanus
melursus ursinus
addax nasomaculatus
cisticola erythrops
molothrus ater
saimiri boliviensis
muscicapa adusta
basiliscus plumifrons
elephantulus intufi
