urocolius macrourus
aonyx cinerea
ardeotis kori
charadrius vociferus
dinemellia dinemelli
casuarius casuarius
spizella pallida
connochaetes taurinus
pycnonotus barbatus
antidorcas marsupialis
nestor meridionalis
urocitellus parryii
serinus canicollis
lipoptena sp
tragelaphus strepsiceros
nestor notabilis
pseudopus apodus
myrmecocichla formicivora
eudyptula minor
tamandua tetradactyla
branchiostoma floridae
desmodus rotundus
echinops telfairi
gallirallus australis
hippotragus niger
diceros bicornis
dryoscopus cubla
cinnyricinclus leucogaster
rhea americana
hypogeomys antimena
polyplax sp
prosthemadera novaeseelandiae
tolypeutes matacus
paroaria coronata
rhyticeros undulatus
zoothera gurneyi
hymenolaimus malacorhynchos
lampetra appendix
ichthyomyzon fossor
sylvia borin
dendrocygna viduata
chondestes grammacus
gorilla gorilla
anas aucklandica
leontopithecus rosalia
giraffa camelopardalis
menacanthus eurysternus
apteryx australis
geospiza difficilis
petromyzon marinus
xanthocephalus xanthocephalus
coracina pectoralis
ornithodoros moubata
zalophus californianus
agelaius phoeniceus
melursus ursinus
camaroptera brevicaudata
callithrix geoffroyi
anolis allisoni
aepyceros melampus
halcyon malimbica
varanus macraei
pteromys volans
argusianus argus
tyto alba
geospiza septentrionalis
coturnix coturnix
archaeopsylla sp
uroplatus lineatus
boa constrictor
hoplopleura sp
papio ursinus
ceratotherium simum
strigops habroptilus
mergellus albellus
equus zebra
cacatua galerita
pyrocephalus rubinus
varecia rubra
muscicapa adusta
ixodes ricinus
lemur catta
ploceus ocularis
galictis vittata
anthus lineiventris
elephas maximus
alouatta pigra
cynictis penicillata
callorhinus ursinus
tachyglossus aculeatus
manis temminckii
bovicola caprae
phoenicopterus ruber
eudocimus ruber
lagonosticta rubricata
saimiri boliviensis
athene cunicularia
equus asinus
uraeginthus angolensis
cisticola erythrops
anthornis melanura
lonchura fringilloides
panthera tigris
vicugna vicugna
trioceros melleri
panthera onca
equus burchellii
vidua funerea
physignathus cocincinus
panthera leo
taurotragus oryx
orycteropus afer
parahyaena brunnea
sarcophilus harrisii
molothrus ater
torgos tracheliotos
lanius collurio
elephantulus intufi
estrilda astrild
phoenicopterus chilensis
chrysolophus pictus
estrilda melanotis
hypargos niveoguttatus
cercopithecus wolfi
myrmecophaga tridactyla
arctocephalus forsteri
ailurus fulgens
aneides aeneus
phalacrocorax punctatus
struthio camelus
lagonosticta rhodopareia
himantopus himantopus
equus hemionus
rhacodactylus leachianus
python regius
tapirus terrestris
mystacina tuberculata
sturnira lilium
pseudois nayaur
garrulax leucolophus
tremarctos ornatus
phacochoerus africanus
notamacropus rufogriseus
choloepus didactylus
cyanoramphus unicolor
axis axis
pauxi pauxi
nycticebus pygmaeus
equus grevyi
passerina ciris
chordeiles minor
bucorvus leadbeateri
anthus novaeseelandiae
rhinoceros unicornis
columba livia
geopelia cuneata
uncia uncia
fukomys damarensis
galerella pulverulenta
canis lupus
suricata suricatta
felis margarita
pytilia melba
pavo cristatus
equus przewalskii
pediculus humanus
uroplatus fimbriatus
bubo lacteus
caprimulgus pectoralis
acrocephalus arundinaceus
tachycineta bicolor
myiarchus crinitus
erethizon dorsatum
saguinus imperator
merops pusillus
batis capensis
laniarius ferrugineus
pongo abelii
litoria infrafrenata
tockus nasutus
basiliscus plumifrons
indicator variegatus
merops boehmi
zenaida graysoni
melopsittacus undulatus
addax nasomaculatus
sheppardia sharpei
pheucticus melanocephalus
pogona vitticeps
cariama cristata
heloderma horridum
callithrix argentata
lycaon pictus
theloderma corticale
merops apiaster
cynomys ludovicianus
streptopelia capicola
anodorhynchus hyacinthinus
camaroptera brachyura
crax alberti
mimus polyglottos
cercomela familiaris
gerbillurus paeba
dasypus novemcinctus
tragulus javanicus
passer domesticus
tupaia belangeri
pseudocheirus peregrinus
artibeus jamaicensis
cardinalis cardinalis
myrsidea sp
vidua paradisaea
platalea ajaja
colobus angolensis
tragelaphus eurycerus
saguinus labiatus
connochaetes gnou
kaupifalco monogrammicus
ammodramus bairdii
erythrocebus patas
centropus senegalensis
anthreptes collaris
tyrannus tyrannus
macaca sylvanus
arctictis binturong
camelus dromedarius
falco biarmicus
cyclura collei
