attr	score	s1	s2
corrected_species_name_sam	0.72111714	myrmecocichla formicivora	geospiza difficilis septentrionalis
corrected_species_name_sam	0.73635477	rallus limicola	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7029616	rallus limicola	bovicola caprae
corrected_species_name_sam	0.7006905	rallus limicola	anas aucklandica chlorotis
corrected_species_name_sam	0.7008417	aceros corrugatus	rallus limicola
corrected_species_name_sam	0.7034466	varanus albigularis	rallus limicola
corrected_species_name_sam	0.74444807	varanus albigularis	ceratobatrachus guentheri
corrected_species_name_sam	0.70916414	hoplopleura	ceratobatrachus guentheri
corrected_species_name_sam	0.7116279	icteria virens	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7157399	icteria virens	myrmecocichla formicivora
corrected_species_name_sam	0.70092344	icteria virens	rallus limicola
corrected_species_name_sam	0.70883113	prionailurus viverrinus	ceratobatrachus guentheri
corrected_species_name_sam	0.7510119	prionailurus viverrinus	varanus albigularis
corrected_species_name_sam	0.80609447	prionailurus viverrinus	leptailurus serval
corrected_species_name_sam	0.7148667	ailurus fulgens	ceratobatrachus guentheri
corrected_species_name_sam	0.71309775	ailurus fulgens	varanus albigularis
corrected_species_name_sam	0.76651555	ailurus fulgens	leptailurus serval
corrected_species_name_sam	0.8433574	ailurus fulgens	prionailurus viverrinus
corrected_species_name_sam	0.8124945	halcyon albiventris	halcyon malimbica
corrected_species_name_sam	0.70344913	sarcophilus harrisii	geospiza difficilis septentrionalis
corrected_species_name_sam	0.70707655	sarcophilus harrisii	desmodus rotundus
corrected_species_name_sam	0.73860335	sarcophilus harrisii	bovicola caprae
corrected_species_name_sam	0.7490968	sarcophilus harrisii	aceros corrugatus
corrected_species_name_sam	0.72251904	prosthemadera novaeseelandiae	anas aucklandica chlorotis
corrected_species_name_sam	0.70592225	dromaius novaehollandiae	anas aucklandica chlorotis
corrected_species_name_sam	0.8166132	dromaius novaehollandiae	prosthemadera novaeseelandiae
corrected_species_name_sam	0.7287864	diceros bicornis	trioceros melleri
corrected_species_name_sam	0.7622838	diceros bicornis	aceros corrugatus
corrected_species_name_sam	0.7049095	saimiri boliviensis boliviensis	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7103021	struthio camelus	prionailurus viverrinus
corrected_species_name_sam	0.7952048	fukomys damarensis	pteromys volans
corrected_species_name_sam	0.7125918	fukomys damarensis	ceratobatrachus guentheri
corrected_species_name_sam	0.70865834	fukomys damarensis	varanus albigularis
corrected_species_name_sam	0.7072744	fukomys damarensis	prionailurus viverrinus
corrected_species_name_sam	0.74314094	fukomys damarensis	saimiri boliviensis boliviensis
corrected_species_name_sam	0.7215714	ceratotherium simum	diceros bicornis
corrected_species_name_sam	0.7136838	ceratotherium simum	struthio camelus
corrected_species_name_sam	0.7602258	spizella pallida	geospiza difficilis septentrionalis
corrected_species_name_sam	0.74027395	spizella pallida	icteria virens
corrected_species_name_sam	0.7595382	tragelaphus strepsiceros	aepyceros melampus
corrected_species_name_sam	0.70500547	tragelaphus strepsiceros	leptailurus serval
corrected_species_name_sam	0.7044705	tragelaphus strepsiceros	prionailurus viverrinus
corrected_species_name_sam	0.7695354	tragelaphus strepsiceros	diceros bicornis
corrected_species_name_sam	0.7206569	tragelaphus strepsiceros	struthio camelus
corrected_species_name_sam	0.707675	agelaius phoeniceus	icteria virens
corrected_species_name_sam	0.78017837	agelaius phoeniceus	eudocimus ruber
corrected_species_name_sam	0.70137	pogona vitticeps	myrmecocichla formicivora
corrected_species_name_sam	0.71220255	dendrocygna viduata	anas aucklandica chlorotis
corrected_species_name_sam	0.73199934	anas rhynchotis variegata	geospiza difficilis septentrionalis
corrected_species_name_sam	0.88000417	anas rhynchotis variegata	anas aucklandica chlorotis
corrected_species_name_sam	0.72062093	anas rhynchotis variegata	myrmecocichla formicivora
corrected_species_name_sam	0.73250955	anas rhynchotis variegata	rallus limicola
corrected_species_name_sam	0.7193359	anas rhynchotis variegata	varanus albigularis
corrected_species_name_sam	0.7087292	anas rhynchotis variegata	icteria virens
corrected_species_name_sam	0.71523917	anas rhynchotis variegata	prosthemadera novaeseelandiae
corrected_species_name_sam	0.7139647	anas rhynchotis variegata	dromaius novaehollandiae
corrected_species_name_sam	0.70129794	anas rhynchotis variegata	diceros bicornis
corrected_species_name_sam	0.7666193	anas rhynchotis variegata	dendrocygna viduata
corrected_species_name_sam	0.728909	mystacina tuberculata	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7296287	mystacina tuberculata	bovicola caprae
corrected_species_name_sam	0.7274837	mystacina tuberculata	ceratobatrachus guentheri
corrected_species_name_sam	0.72583926	mystacina tuberculata	hoplopleura
corrected_species_name_sam	0.76644033	mystacina tuberculata	sarcophilus harrisii
corrected_species_name_sam	0.7233454	mystacina tuberculata	diceros bicornis
corrected_species_name_sam	0.7226503	mystacina tuberculata	saimiri boliviensis boliviensis
corrected_species_name_sam	0.716451	mystacina tuberculata	spizella pallida
corrected_species_name_sam	0.74178946	mystacina tuberculata	pogona vitticeps
corrected_species_name_sam	0.72633666	mystacina tuberculata	parahyaena brunnea
corrected_species_name_sam	0.74696535	mystacina tuberculata	anas rhynchotis variegata
corrected_species_name_sam	0.7133905	helogale parvula	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7023681	helogale parvula	myrmecocichla formicivora
corrected_species_name_sam	0.7032925	helogale parvula	prionailurus viverrinus
corrected_species_name_sam	0.70208836	helogale parvula	ailurus fulgens
corrected_species_name_sam	0.70538133	helogale parvula	diceros bicornis
corrected_species_name_sam	0.72244763	helogale parvula	saimiri boliviensis boliviensis
corrected_species_name_sam	0.726495	helogale parvula	fukomys damarensis
corrected_species_name_sam	0.7103419	helogale parvula	pogona vitticeps
corrected_species_name_sam	0.72105	helogale parvula	anas rhynchotis variegata
corrected_species_name_sam	0.7635439	helogale parvula	mystacina tuberculata
corrected_species_name_sam	0.7528717	tremarctos ornatus	geospiza difficilis septentrionalis
corrected_species_name_sam	0.71593434	tremarctos ornatus	aceros corrugatus
corrected_species_name_sam	0.75735295	tremarctos ornatus	ceratobatrachus guentheri
corrected_species_name_sam	0.7153366	tremarctos ornatus	varanus albigularis
corrected_species_name_sam	0.77205485	tremarctos ornatus	prionailurus viverrinus
corrected_species_name_sam	0.7661939	tremarctos ornatus	ailurus fulgens
corrected_species_name_sam	0.719214	tremarctos ornatus	sarcophilus harrisii
corrected_species_name_sam	0.74207497	tremarctos ornatus	diceros bicornis
corrected_species_name_sam	0.71422404	tremarctos ornatus	saimiri boliviensis boliviensis
corrected_species_name_sam	0.7126427	tremarctos ornatus	fukomys damarensis
corrected_species_name_sam	0.71311545	tremarctos ornatus	mystacina tuberculata
corrected_species_name_sam	0.74161273	tremarctos ornatus	helogale parvula
corrected_species_name_sam	0.98396134	saimiri boliviensis	saimiri boliviensis boliviensis
corrected_species_name_sam	0.72342503	saimiri boliviensis	fukomys damarensis
corrected_species_name_sam	0.7189271	saimiri boliviensis	helogale parvula
corrected_species_name_sam	0.72910005	choloepus didactylus	pteromys volans
corrected_species_name_sam	0.77027696	choloepus didactylus	ceratobatrachus guentheri
corrected_species_name_sam	0.70322454	choloepus didactylus	varanus albigularis
corrected_species_name_sam	0.7244116	choloepus didactylus	prionailurus viverrinus
corrected_species_name_sam	0.70557076	choloepus didactylus	fukomys damarensis
corrected_species_name_sam	0.7495894	choloepus didactylus	tremarctos ornatus
corrected_species_name_sam	0.70028913	cercocebus chrysogaster	trioceros melleri
corrected_species_name_sam	0.7065484	cercocebus chrysogaster	pteromys volans
corrected_species_name_sam	0.79667974	cercocebus chrysogaster	myrmecocichla formicivora
corrected_species_name_sam	0.7072555	cercocebus chrysogaster	ceratobatrachus guentheri
corrected_species_name_sam	0.77826494	cercocebus chrysogaster	varanus albigularis
corrected_species_name_sam	0.70082176	cercocebus chrysogaster	leptailurus serval
corrected_species_name_sam	0.746085	cercocebus chrysogaster	prionailurus viverrinus
corrected_species_name_sam	0.7067114	cercocebus chrysogaster	ailurus fulgens
corrected_species_name_sam	0.71316653	cercocebus chrysogaster	diceros bicornis
corrected_species_name_sam	0.75270104	cercocebus chrysogaster	fukomys damarensis
corrected_species_name_sam	0.7417836	cercocebus chrysogaster	tragelaphus strepsiceros
