attr	score	s1	s2
nitrate_sam	0.7048235	numeric mg/l	numeric
nitrate_sam	0.719167	numeric mg l-1	numeric
nitrate_sam	0.70905614	numeric mg l-1	numeric mg/l
nitrate_sam	1.0	numeric µmol/kg	numeric
nitrate_sam	0.7048235	numeric µmol/kg	numeric mg/l
nitrate_sam	0.719167	numeric µmol/kg	numeric mg l-1
nitrate_sam	0.97104394	numeric mg/l number mg/l	numeric mg/l
nitrate_sam	0.7558401	numeric µmol/l	numeric
nitrate_sam	0.84166795	numeric µmol/l	numeric mg/l
nitrate_sam	0.73350745	numeric µmol/l	numeric mg l-1
nitrate_sam	0.7558401	numeric µmol/l	numeric µmol/kg
nitrate_sam	0.7838027	numeric µmol/l	numeric mg/l number mg/l
nitrate_sam	1.0	numeric ug-n/l	numeric
nitrate_sam	0.7048235	numeric ug-n/l	numeric mg/l
nitrate_sam	0.719167	numeric ug-n/l	numeric mg l-1
nitrate_sam	1.0	numeric ug-n/l	numeric µmol/kg
nitrate_sam	0.7558401	numeric ug-n/l	numeric µmol/l
nitrate_sam	0.72006565	numeric micro molar	numeric
nitrate_sam	0.72006565	numeric micro molar	numeric µmol/kg
nitrate_sam	0.7248659	numeric micro molar	numeric µmol/l
nitrate_sam	0.72006565	numeric micro molar	numeric ug-n/l
nitrate_sam	0.76384735	numeric um	numeric
nitrate_sam	0.76384735	numeric um	numeric µmol/kg
nitrate_sam	0.76384735	numeric um	numeric ug-n/l
nitrate_sam	0.73415154	numeric micromoles per liter	numeric mg/l
nitrate_sam	0.70392007	numeric micromoles per liter	numeric mg/l number mg/l
nitrate_sam	0.7341991	numeric micromoles per liter	numeric µmol/l
nitrate_sam	0.71329135	numeric micromoles per liter	numeric micro molar
nitrate_sam	0.7293132	numeric mm	numeric
nitrate_sam	0.7036666	numeric mm	numeric mg l-1
nitrate_sam	0.7293132	numeric mm	numeric µmol/kg
nitrate_sam	0.7293132	numeric mm	numeric ug-n/l
nitrate_sam	0.748235	numeric umol/l	numeric
nitrate_sam	0.79671025	numeric umol/l	numeric mg/l
nitrate_sam	0.72412014	numeric umol/l	numeric mg l-1
nitrate_sam	0.748235	numeric umol/l	numeric µmol/kg
nitrate_sam	0.7326155	numeric umol/l	numeric mg/l number mg/l
nitrate_sam	0.9406824	numeric umol/l	numeric µmol/l
nitrate_sam	0.748235	numeric umol/l	numeric ug-n/l
nitrate_sam	0.71907556	numeric umol/l	numeric micro molar
nitrate_sam	0.79500806	missing	missing not provided
nitrate_sam	0.87047976	number mg/l	numeric mg/l
nitrate_sam	0.9628624	number mg/l	numeric mg/l number mg/l
nitrate_sam	1.0000004	number µmol/kg	number
nitrate_sam	0.7413477	number µg/l	numeric mg/l
nitrate_sam	0.8230948	number µg/l	numeric mg/l number mg/l
nitrate_sam	0.8579769	number µg/l	number mg/l
nitrate_sam	0.74235153	numeric mol/l	numeric
nitrate_sam	0.8161881	numeric mol/l	numeric mg/l
nitrate_sam	0.7311668	numeric mol/l	numeric mg l-1
nitrate_sam	0.74235153	numeric mol/l	numeric µmol/kg
nitrate_sam	0.7544046	numeric mol/l	numeric mg/l number mg/l
nitrate_sam	0.9418912	numeric mol/l	numeric µmol/l
nitrate_sam	0.74235153	numeric mol/l	numeric ug-n/l
nitrate_sam	0.75385416	numeric mol/l	numeric micro molar
nitrate_sam	0.73984206	numeric mol/l	numeric micromoles per liter
nitrate_sam	0.94124746	numeric mol/l	numeric umol/l
nitrate_sam	1.0	numeric µmol/dm3	numeric
nitrate_sam	0.7048235	numeric µmol/dm3	numeric mg/l
nitrate_sam	0.719167	numeric µmol/dm3	numeric mg l-1
nitrate_sam	1.0	numeric µmol/dm3	numeric µmol/kg
nitrate_sam	0.7558401	numeric µmol/dm3	numeric µmol/l
nitrate_sam	1.0	numeric µmol/dm3	numeric ug-n/l
nitrate_sam	0.72006565	numeric µmol/dm3	numeric micro molar
nitrate_sam	0.76384735	numeric µmol/dm3	numeric um
nitrate_sam	0.7293132	numeric µmol/dm3	numeric mm
nitrate_sam	0.748235	numeric µmol/dm3	numeric umol/l
nitrate_sam	0.74235153	numeric µmol/dm3	numeric mol/l
nitrate_sam	0.813492	numeric mg/kg	numeric mg/l
nitrate_sam	0.70219594	numeric mg/kg	numeric mg l-1
nitrate_sam	0.7682419	numeric mg/kg	numeric mg/l number mg/l
nitrate_sam	0.80612475	numeric mg/kg	numeric µmol/l
nitrate_sam	0.77293116	numeric mg/kg	numeric umol/l
nitrate_sam	0.76751506	numeric mg/kg	numeric mol/l
nitrate_sam	0.7053037	numeric µm	numeric
nitrate_sam	0.7160446	numeric µm	numeric mg/l
nitrate_sam	0.7053037	numeric µm	numeric µmol/kg
nitrate_sam	0.7498616	numeric µm	numeric µmol/l
nitrate_sam	0.7053037	numeric µm	numeric ug-n/l
nitrate_sam	0.71523184	numeric µm	numeric micro molar
nitrate_sam	0.73577905	numeric µm	numeric mm
nitrate_sam	0.7163455	numeric µm	numeric umol/l
nitrate_sam	0.8608377	numeric µm	number µm
nitrate_sam	0.71685266	numeric µm	numeric mol/l
nitrate_sam	0.7053037	numeric µm	numeric µmol/dm3
nitrate_sam	0.75032556	number mg n/l	numeric mg l-1
nitrate_sam	0.75481457	numeric ppm	numeric
nitrate_sam	0.80226356	numeric ppm	numeric mg/l
nitrate_sam	0.75481457	numeric ppm	numeric µmol/kg
nitrate_sam	0.74160296	numeric ppm	numeric mg/l number mg/l
nitrate_sam	0.7741737	numeric ppm	numeric µmol/l
nitrate_sam	0.75481457	numeric ppm	numeric ug-n/l
nitrate_sam	0.71283144	numeric ppm	numeric micro molar
nitrate_sam	0.7564619	numeric ppm	numeric umol/l
nitrate_sam	0.7782613	numeric ppm	numeric mol/l
nitrate_sam	0.75481457	numeric ppm	numeric µmol/dm3
nitrate_sam	0.77099615	numeric ppm	numeric mg/kg
nitrate_sam	0.9081813	numeric ± numeric	numeric
nitrate_sam	0.7513656	numeric ± numeric	numeric mg/l
nitrate_sam	0.7302917	numeric ± numeric	numeric mg l-1
nitrate_sam	0.9081813	numeric ± numeric	numeric µmol/kg
nitrate_sam	0.8078226	numeric ± numeric	numeric µmol/l
nitrate_sam	0.9081813	numeric ± numeric	numeric ug-n/l
nitrate_sam	0.74883264	numeric ± numeric	numeric micro molar
nitrate_sam	0.73483646	numeric ± numeric	numeric um
nitrate_sam	0.7513293	numeric ± numeric	numeric mm
nitrate_sam	0.7882917	numeric ± numeric	numeric umol/l
nitrate_sam	0.7827079	numeric ± numeric	numeric mol/l
nitrate_sam	0.9081813	numeric ± numeric	numeric µmol/dm3
nitrate_sam	0.7320371	numeric ± numeric	numeric mg/kg
nitrate_sam	0.7519296	numeric ± numeric	numeric µm
nitrate_sam	0.80919594	numeric ± numeric	numeric ppm
nitrate_sam	1.0	numeric mg.l-1	numeric
nitrate_sam	0.7048235	numeric mg.l-1	numeric mg/l
nitrate_sam	0.719167	numeric mg.l-1	numeric mg l-1
nitrate_sam	1.0	numeric mg.l-1	numeric µmol/kg
nitrate_sam	0.7558401	numeric mg.l-1	numeric µmol/l
nitrate_sam	1.0	numeric mg.l-1	numeric ug-n/l
nitrate_sam	0.72006565	numeric mg.l-1	numeric micro molar
nitrate_sam	0.76384735	numeric mg.l-1	numeric um
nitrate_sam	0.7293132	numeric mg.l-1	numeric mm
nitrate_sam	0.748235	numeric mg.l-1	numeric umol/l
nitrate_sam	0.74235153	numeric mg.l-1	numeric mol/l
nitrate_sam	1.0	numeric mg.l-1	numeric µmol/dm3
nitrate_sam	0.7053037	numeric mg.l-1	numeric µm
nitrate_sam	0.75481457	numeric mg.l-1	numeric ppm
nitrate_sam	0.9081813	numeric mg.l-1	numeric ± numeric
nitrate_sam	0.8680441	numeric mg n/l	numeric mg l-1
nitrate_sam	0.71637684	numeric mg n/l	numeric µmol/l
nitrate_sam	0.73057646	numeric mg n/l	numeric mol/l
nitrate_sam	0.9337856	numeric mg n/l	number mg n/l
nitrate_sam	0.7406212	number mg /l	numeric mg l-1
nitrate_sam	0.78234065	number mg /l	number mg n/l
nitrate_sam	0.72391427	number mg /l	numeric mg n/l
nitrate_sam	0.7094884	number ug/l	numeric mg/l
nitrate_sam	0.7897463	number ug/l	numeric mg/l number mg/l
nitrate_sam	0.82527506	number ug/l	number mg/l
nitrate_sam	0.8158828	number ug/l	number µg/l
nitrate_sam	0.7536299	numeric orig	numeric
nitrate_sam	0.7536299	numeric orig	numeric µmol/kg
nitrate_sam	0.7536299	numeric orig	numeric ug-n/l
nitrate_sam	0.7536299	numeric orig	numeric µmol/dm3
nitrate_sam	0.70315063	numeric orig	numeric ± numeric
nitrate_sam	0.7536299	numeric orig	numeric mg.l-1
nitrate_sam	0.7686799	no nitrate	low nitrate
nitrate_sam	0.8942776	numeric micromoles per l	numeric micromoles per liter
nitrate_sam	1.0000004	number ug-n/l	number
nitrate_sam	1.0000004	number ug-n/l	number µmol/kg
nitrate_sam	1.0	numeric micromoleperliter	numeric
nitrate_sam	0.7048235	numeric micromoleperliter	numeric mg/l
nitrate_sam	0.719167	numeric micromoleperliter	numeric mg l-1
nitrate_sam	1.0	numeric micromoleperliter	numeric µmol/kg
nitrate_sam	0.7558401	numeric micromoleperliter	numeric µmol/l
nitrate_sam	1.0	numeric micromoleperliter	numeric ug-n/l
nitrate_sam	0.72006565	numeric micromoleperliter	numeric micro molar
nitrate_sam	0.76384735	numeric micromoleperliter	numeric um
nitrate_sam	0.7293132	numeric micromoleperliter	numeric mm
nitrate_sam	0.748235	numeric micromoleperliter	numeric umol/l
nitrate_sam	0.74235153	numeric micromoleperliter	numeric mol/l
nitrate_sam	1.0	numeric micromoleperliter	numeric µmol/dm3
nitrate_sam	0.7053037	numeric micromoleperliter	numeric µm
nitrate_sam	0.75481457	numeric micromoleperliter	numeric ppm
nitrate_sam	0.9081813	numeric micromoleperliter	numeric ± numeric
nitrate_sam	1.0	numeric micromoleperliter	numeric mg.l-1
nitrate_sam	0.7536299	numeric micromoleperliter	numeric orig
nitrate_sam	0.7910667	optimal nitrate	low nitrate
nitrate_sam	0.7645562	optimal nitrate	no nitrate
nitrate_sam	0.72683203	numeric micromole per liter	numeric mg/l
nitrate_sam	0.7216088	numeric micromole per liter	numeric µmol/l
nitrate_sam	0.7057614	numeric micromole per liter	numeric micro molar
nitrate_sam	0.9935334	numeric micromole per liter	numeric micromoles per liter
nitrate_sam	0.72771454	numeric micromole per liter	numeric mol/l
nitrate_sam	0.8904238	numeric micromole per liter	numeric micromoles per l
nitrate_sam	0.78359294	number um	numeric um
nitrate_sam	0.76435727	number mg/l pore waters	numeric mg/l
nitrate_sam	0.8392969	number mg/l pore waters	numeric mg/l number mg/l
nitrate_sam	0.8653537	number mg/l pore waters	number mg/l
nitrate_sam	0.7236278	number mg/l pore waters	number µg/l
nitrate_sam	0.71469927	number mg/l pore waters	number ug/l
nitrate_sam	0.706572	number µmol/l	numeric mg/l
nitrate_sam	0.77218527	number µmol/l	numeric mg/l number mg/l
nitrate_sam	0.86179847	number µmol/l	numeric µmol/l
