attr	score	s1	s2
sampling_date_run	0.7767625	december number	number
sampling_date_run	0.7869176	june number	number
sampling_date_run	0.9803519	june number	december number
sampling_date_run	0.77511436	august number	number
sampling_date_run	0.97489274	august number	december number
sampling_date_run	0.98355395	august number	june number
sampling_date_run	0.7897442	april number	number
sampling_date_run	0.9869924	april number	december number
sampling_date_run	0.98975104	april number	june number
sampling_date_run	0.981582	april number	august number
sampling_date_run	0.7813824	november number	number
sampling_date_run	0.9921304	november number	december number
sampling_date_run	0.9824406	november number	june number
sampling_date_run	0.97997737	november number	august number
sampling_date_run	0.989058	november number	april number
sampling_date_run	0.7877658	march number	number
sampling_date_run	0.9883226	march number	december number
sampling_date_run	0.98331976	march number	june number
sampling_date_run	0.9760031	march number	august number
sampling_date_run	0.99033767	march number	april number
sampling_date_run	0.9895611	march number	november number
sampling_date_run	0.77545303	january number	number
sampling_date_run	0.99024045	january number	december number
sampling_date_run	0.977565	january number	june number
sampling_date_run	0.9741907	january number	august number
sampling_date_run	0.98393303	january number	april number
sampling_date_run	0.98697186	january number	november number
sampling_date_run	0.98616964	january number	march number
sampling_date_run	0.7778184	october number	number
sampling_date_run	0.98730326	october number	december number
sampling_date_run	0.9832291	october number	june number
sampling_date_run	0.9831397	october number	august number
sampling_date_run	0.98913467	october number	april number
sampling_date_run	0.9923623	october number	november number
sampling_date_run	0.98742205	october number	march number
sampling_date_run	0.9822434	october number	january number
sampling_date_run	0.78047544	july number	number
sampling_date_run	0.97827405	july number	december number
sampling_date_run	0.99193454	july number	june number
sampling_date_run	0.9897665	july number	august number
sampling_date_run	0.98677564	july number	april number
sampling_date_run	0.9802428	july number	november number
sampling_date_run	0.9816051	july number	march number
sampling_date_run	0.9783737	july number	january number
sampling_date_run	0.98261917	july number	october number
sampling_date_run	0.8325991	may number	number
sampling_date_run	0.8682294	may number	december number
sampling_date_run	0.876623	may number	june number
sampling_date_run	0.8632213	may number	august number
sampling_date_run	0.881094	may number	april number
sampling_date_run	0.8692562	may number	november number
sampling_date_run	0.86908585	may number	march number
sampling_date_run	0.8608256	may number	january number
sampling_date_run	0.8661173	may number	october number
sampling_date_run	0.86883324	may number	july number
sampling_date_run	0.7767141	february number	number
sampling_date_run	0.99180704	february number	december number
sampling_date_run	0.98170286	february number	june number
sampling_date_run	0.9791837	february number	august number
sampling_date_run	0.98873425	february number	april number
sampling_date_run	0.99127126	february number	november number
sampling_date_run	0.99142414	february number	march number
sampling_date_run	0.99232996	february number	january number
sampling_date_run	0.98780507	february number	october number
sampling_date_run	0.98097277	february number	july number
sampling_date_run	0.8660527	february number	may number
sampling_date_run	0.7777002	september number	number
sampling_date_run	0.98198956	september number	december number
sampling_date_run	0.98329735	september number	june number
sampling_date_run	0.98649275	september number	august number
sampling_date_run	0.9860541	september number	april number
sampling_date_run	0.9878879	september number	november number
sampling_date_run	0.9826921	september number	march number
sampling_date_run	0.9783064	september number	january number
sampling_date_run	0.993647	september number	october number
sampling_date_run	0.98404324	september number	july number
sampling_date_run	0.866382	september number	may number
sampling_date_run	0.9834059	september number	february number
