attr	score	s1	s2
tumor_size_sam	1.0	numeric	numeric numeric
tumor_size_sam	1.0000004	number	number 3.5cm
tumor_size_sam	0.8938553	number numeric	numeric numeric
tumor_size_sam	0.8938553	number numeric	numeric
tumor_size_sam	0.77485603	number numeric	number 3.5cm
tumor_size_sam	0.77485603	number numeric	number
tumor_size_sam	1.0000004	number number	number 3.5cm
tumor_size_sam	1.0000004	number number	number
tumor_size_sam	0.77485603	number number	number numeric
tumor_size_sam	1.0000004	number 5.2cm	number 3.5cm
tumor_size_sam	1.0000004	number 5.2cm	number
tumor_size_sam	0.77485603	number 5.2cm	number numeric
tumor_size_sam	1.0000004	number 5.2cm	number number
tumor_size_sam	0.73490256	number x number cm	number 3.5cm
tumor_size_sam	0.73490256	number x number cm	number
tumor_size_sam	0.73490256	number x number cm	number number
tumor_size_sam	0.73490256	number x number cm	number 5.2cm
tumor_size_sam	0.8938553	numeric number	numeric numeric
tumor_size_sam	0.8938553	numeric number	numeric
tumor_size_sam	0.77485603	numeric number	number 3.5cm
tumor_size_sam	0.77485603	numeric number	number
tumor_size_sam	0.9999997	numeric number	number numeric
tumor_size_sam	0.77485603	numeric number	number number
tumor_size_sam	0.77485603	numeric number	number 5.2cm
tumor_size_sam	0.73406214	number x number x number cm	number 3.5cm
tumor_size_sam	0.73406214	number x number x number cm	number
tumor_size_sam	0.73406214	number x number x number cm	number number
tumor_size_sam	0.73406214	number x number x number cm	number 5.2cm
tumor_size_sam	0.9888791	number x number x number cm	number x number cm
tumor_size_sam	0.9209381	number cm	number x number cm
tumor_size_sam	0.8527382	number cm	number x number x number cm
tumor_size_sam	0.95098317	small tumor	large tumor
tumor_size_sam	1.0	numeric 5cm	numeric numeric
tumor_size_sam	1.0	numeric 5cm	numeric
tumor_size_sam	0.8938553	numeric 5cm	number numeric
tumor_size_sam	0.8938553	numeric 5cm	numeric number
tumor_size_sam	0.8818995	number mm	11-40 mm
tumor_size_sam	0.75294995	number mm	number x number cm
tumor_size_sam	0.7106777	number mm	number x number x number cm
tumor_size_sam	0.7822481	number mm	number cm
tumor_size_sam	0.7993049	numeric x numeric x number cm numeric x numeric x numeric cm processing	numeric numeric
tumor_size_sam	0.7993049	numeric x numeric x number cm numeric x numeric x numeric cm processing	numeric
tumor_size_sam	0.7860774	numeric x numeric x number cm numeric x numeric x numeric cm processing	number numeric
tumor_size_sam	0.8016453	numeric x numeric x number cm numeric x numeric x numeric cm processing	number x number cm
tumor_size_sam	0.7860774	numeric x numeric x number cm numeric x numeric x numeric cm processing	numeric number
tumor_size_sam	0.81827414	numeric x numeric x number cm numeric x numeric x numeric cm processing	number x number x number cm
tumor_size_sam	0.7993049	numeric x numeric x number cm numeric x numeric x numeric cm processing	numeric 5cm
tumor_size_sam	0.82387936	numeric x numeric cm	numeric numeric
tumor_size_sam	0.82387936	numeric x numeric cm	numeric
tumor_size_sam	0.7755898	numeric x numeric cm	number numeric
tumor_size_sam	0.7695383	numeric x numeric cm	number x number cm
tumor_size_sam	0.7755898	numeric x numeric cm	numeric number
tumor_size_sam	0.768209	numeric x numeric cm	number x number x number cm
tumor_size_sam	0.82387936	numeric x numeric cm	numeric 5cm
tumor_size_sam	0.9839784	numeric x numeric cm	numeric x numeric x number cm numeric x numeric x numeric cm processing
tumor_size_sam	0.7858515	small	large
tumor_size_sam	0.99999994	numeric numeric 5.0cm	numeric numeric
tumor_size_sam	0.99999994	numeric numeric 5.0cm	numeric
tumor_size_sam	0.8938553	numeric numeric 5.0cm	number numeric
tumor_size_sam	0.8938553	numeric numeric 5.0cm	numeric number
tumor_size_sam	0.99999994	numeric numeric 5.0cm	numeric 5cm
tumor_size_sam	0.7993048	numeric numeric 5.0cm	numeric x numeric x number cm numeric x numeric x numeric cm processing
tumor_size_sam	0.8238792	numeric numeric 5.0cm	numeric x numeric cm
tumor_size_sam	0.76268923	numeric x number cm	number numeric
tumor_size_sam	0.92953634	numeric x number cm	number x number cm
tumor_size_sam	0.76268923	numeric x number cm	numeric number
tumor_size_sam	0.9233724	numeric x number cm	number x number x number cm
tumor_size_sam	0.845108	numeric x number cm	number cm
tumor_size_sam	0.70440906	numeric x number cm	number mm
tumor_size_sam	0.9571133	numeric x number cm	numeric x numeric x number cm numeric x numeric x numeric cm processing
tumor_size_sam	0.95078593	numeric x number cm	numeric x numeric cm
tumor_size_sam	0.7740066	number x number x number cm numeric x numeric x numeric cm processing	number numeric
tumor_size_sam	0.9020691	number x number x number cm numeric x numeric x numeric cm processing	number x number cm
tumor_size_sam	0.7740066	number x number x number cm numeric x numeric x numeric cm processing	numeric number
tumor_size_sam	0.91728187	number x number x number cm numeric x numeric x numeric cm processing	number x number x number cm
tumor_size_sam	0.7645979	number x number x number cm numeric x numeric x numeric cm processing	number cm
tumor_size_sam	0.9782316	number x number x number cm numeric x numeric x numeric cm processing	numeric x numeric x number cm numeric x numeric x numeric cm processing
tumor_size_sam	0.9448629	number x number x number cm numeric x numeric x numeric cm processing	numeric x numeric cm
tumor_size_sam	0.9832531	number x number x number cm numeric x numeric x numeric cm processing	numeric x number cm
tumor_size_sam	0.74105614	numeric cm	numeric numeric
tumor_size_sam	0.74105614	numeric cm	numeric
tumor_size_sam	0.7082899	numeric cm	number numeric
tumor_size_sam	0.7501244	numeric cm	number x number cm
tumor_size_sam	0.7082899	numeric cm	numeric number
tumor_size_sam	0.80779403	numeric cm	number cm
tumor_size_sam	0.74105614	numeric cm	numeric 5cm
tumor_size_sam	0.8817544	numeric cm	numeric x numeric x number cm numeric x numeric x numeric cm processing
tumor_size_sam	0.9378648	numeric cm	numeric x numeric cm
tumor_size_sam	0.74105597	numeric cm	numeric numeric 5.0cm
tumor_size_sam	0.9054891	numeric cm	numeric x number cm
tumor_size_sam	0.85006404	numeric cm	number x number x number cm numeric x numeric x numeric cm processing
tumor_size_sam	1.0000004	number number number number	number 3.5cm
tumor_size_sam	1.0000004	number number number number	number
tumor_size_sam	0.77485603	number number number number	number numeric
tumor_size_sam	1.0000004	number number number number	number number
tumor_size_sam	1.0000004	number number number number	number 5.2cm
tumor_size_sam	0.73490256	number number number number	number x number cm
tumor_size_sam	0.77485603	number number number number	numeric number
tumor_size_sam	0.73406214	number number number number	number x number x number cm
tumor_size_sam	0.72568905	number x number cm number x number x number cm sample processing	number 3.5cm
tumor_size_sam	0.72568905	number x number cm number x number x number cm sample processing	number
tumor_size_sam	0.72568905	number x number cm number x number x number cm sample processing	number number
tumor_size_sam	0.72568905	number x number cm number x number x number cm sample processing	number 5.2cm
tumor_size_sam	0.9724303	number x number cm number x number x number cm sample processing	number x number cm
tumor_size_sam	0.97594905	number x number cm number x number x number cm sample processing	number x number x number cm
tumor_size_sam	0.85798955	number x number cm number x number x number cm sample processing	number cm
tumor_size_sam	0.7278575	number x number cm number x number x number cm sample processing	number mm
tumor_size_sam	0.841512	number x number cm number x number x number cm sample processing	numeric x numeric x number cm numeric x numeric x numeric cm processing
tumor_size_sam	0.7861568	number x number cm number x number x number cm sample processing	numeric x numeric cm
