attr	score	s1	s2
water_content_sam	0.79500806	missing	missing not provided
water_content_sam	1.0000004	number gh2o/gdw	number
water_content_sam	1.0	numeric gh2o/gdw	numeric
water_content_sam	0.814419	number ± number	number
water_content_sam	0.814419	number ± number	number gh2o/gdw
water_content_sam	0.70207953	not analyzed	not collected
water_content_sam	0.75217324	not analyzed	not measured
water_content_sam	0.83902603	numeric whc	number whc
water_content_sam	1.0000004	12h after recovery irrigation	24h after recovery irrigation
water_content_sam	0.71765316	not provided	not applicable
water_content_sam	0.8128873	not provided	missing not provided
