attr	score	s1	s2
corrected_species_name_sam	0.87851536	ceratobatrachus guentheri	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7404346	ceratobatrachus guentheri	desmodus rotundus
corrected_species_name_sam	0.80221343	icteria virens	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7067914	icteria virens	desmodus rotundus
corrected_species_name_sam	0.84108156	icteria virens	ceratobatrachus guentheri
corrected_species_name_sam	1.0000002	halcyon albiventris	halcyon malimbica
corrected_species_name_sam	0.8052413	sarcophilus harrisii	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7226654	sarcophilus harrisii	desmodus rotundus
corrected_species_name_sam	0.87724626	sarcophilus harrisii	ceratobatrachus guentheri
corrected_species_name_sam	0.789474	sarcophilus harrisii	icteria virens
corrected_species_name_sam	0.71110225	dromaius novaehollandiae	varanus albigularis
corrected_species_name_sam	0.7485231	saimiri boliviensis boliviensis	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7797337	saimiri boliviensis boliviensis	ceratobatrachus guentheri
corrected_species_name_sam	0.70020205	saimiri boliviensis boliviensis	varanus albigularis
corrected_species_name_sam	0.83240986	saimiri boliviensis boliviensis	icteria virens
corrected_species_name_sam	0.77943605	saimiri boliviensis boliviensis	sarcophilus harrisii
corrected_species_name_sam	0.7384525	spizella pallida	ceratobatrachus guentheri
corrected_species_name_sam	0.78147745	spizella pallida	ailurus fulgens
corrected_species_name_sam	0.71603894	alouatta pigra	ceratobatrachus guentheri
corrected_species_name_sam	0.72659856	tragelaphus strepsiceros	saimiri boliviensis boliviensis
corrected_species_name_sam	0.8067007	tragelaphus strepsiceros	alouatta pigra
corrected_species_name_sam	0.7590708	parahyaena brunnea	geospiza difficilis septentrionalis
corrected_species_name_sam	0.7523199	parahyaena brunnea	ceratobatrachus guentheri
corrected_species_name_sam	0.7436801	parahyaena brunnea	sarcophilus harrisii
corrected_species_name_sam	0.8298109	anas rhynchotis variegata	anas aucklandica chlorotis
corrected_species_name_sam	0.8375476	mystacina tuberculata	geospiza difficilis septentrionalis
corrected_species_name_sam	0.72509813	mystacina tuberculata	desmodus rotundus
corrected_species_name_sam	0.90759474	mystacina tuberculata	ceratobatrachus guentheri
corrected_species_name_sam	0.79730624	mystacina tuberculata	icteria virens
corrected_species_name_sam	0.83705854	mystacina tuberculata	sarcophilus harrisii
corrected_species_name_sam	0.7131496	mystacina tuberculata	saimiri boliviensis boliviensis
corrected_species_name_sam	0.71363115	mystacina tuberculata	spizella pallida
corrected_species_name_sam	0.73858476	mystacina tuberculata	parahyaena brunnea
corrected_species_name_sam	0.84581643	helogale parvula	geospiza difficilis septentrionalis
corrected_species_name_sam	0.729874	helogale parvula	desmodus rotundus
corrected_species_name_sam	0.9210083	helogale parvula	ceratobatrachus guentheri
