attr	score	s1	s2
description_exp	0.8406195	f heteroclitus j2 foregut mucosa a number	f heteroclitus p1 foregut feces a number
description_exp	0.8430847	f heteroclitus c1 hindgut mucosa a number	f heteroclitus p1 foregut feces a number
description_exp	0.9147604	f heteroclitus c1 hindgut mucosa a number	f heteroclitus j2 foregut mucosa a number
description_exp	0.74868244	f heteroclitus p3 hindgut mucosa b number	f heteroclitus p1 foregut feces a number
description_exp	0.86789465	f heteroclitus p3 hindgut mucosa b number	f heteroclitus j2 foregut mucosa a number
description_exp	0.873588	f heteroclitus p3 hindgut mucosa b number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.77188665	blank wh13 12c	blank wh8 7c
description_exp	0.70269436	human oral microbiome	correlation between pb-all predisposed mice and their gut microbiome
description_exp	0.7080317	f heteroclitus j5 foregut mucosa b number	f heteroclitus p1 foregut feces a number
description_exp	0.8794589	f heteroclitus j5 foregut mucosa b number	f heteroclitus j2 foregut mucosa a number
description_exp	0.82198423	f heteroclitus j5 foregut mucosa b number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.93666965	f heteroclitus j5 foregut mucosa b number	f heteroclitus p3 hindgut mucosa b number
description_exp	0.7925139	f heteroclitus p3 gill a number	f heteroclitus p1 foregut feces a number
description_exp	0.715451	f heteroclitus p3 gill a number	f heteroclitus j2 foregut mucosa a number
description_exp	0.71733725	f heteroclitus p3 gill a number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.71984667	f heteroclitus p3 gill a number	f heteroclitus p3 hindgut mucosa b number
description_exp	0.85957444	f heteroclitus p6 hindgut feces b number	f heteroclitus p1 foregut feces a number
description_exp	0.8195345	f heteroclitus p6 hindgut feces b number	f heteroclitus j2 foregut mucosa a number
description_exp	0.8665776	f heteroclitus p6 hindgut feces b number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.8790281	f heteroclitus p6 hindgut feces b number	f heteroclitus p3 hindgut mucosa b number
description_exp	0.8516831	f heteroclitus p6 hindgut feces b number	f heteroclitus j5 foregut mucosa b number
description_exp	0.73954195	sample from banquedana transect	f heteroclitus p1 foregut feces a number
description_exp	0.8580432	f heteroclitus p4 foregut mucosa a number	f heteroclitus p1 foregut feces a number
description_exp	0.94867194	f heteroclitus p4 foregut mucosa a number	f heteroclitus j2 foregut mucosa a number
description_exp	0.8998678	f heteroclitus p4 foregut mucosa a number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.89154416	f heteroclitus p4 foregut mucosa a number	f heteroclitus p3 hindgut mucosa b number
description_exp	0.8662005	f heteroclitus p4 foregut mucosa a number	f heteroclitus j5 foregut mucosa b number
description_exp	0.7431413	f heteroclitus p4 foregut mucosa a number	f heteroclitus p3 gill a number
description_exp	0.8171057	f heteroclitus p4 foregut mucosa a number	f heteroclitus p6 hindgut feces b number
description_exp	0.82450503	f heteroclitus p2 gill a number	f heteroclitus p1 foregut feces a number
description_exp	0.71612704	f heteroclitus p2 gill a number	f heteroclitus j2 foregut mucosa a number
description_exp	0.7656009	f heteroclitus p2 gill a number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.72310275	f heteroclitus p2 gill a number	f heteroclitus p3 hindgut mucosa b number
description_exp	0.96899074	f heteroclitus p2 gill a number	f heteroclitus p3 gill a number
description_exp	0.73938507	f heteroclitus p2 gill a number	f heteroclitus p6 hindgut feces b number
description_exp	0.7436261	f heteroclitus p2 gill a number	f heteroclitus p4 foregut mucosa a number
description_exp	0.807258	f heteroclitus j5 foregut mucosa a number	f heteroclitus p1 foregut feces a number
description_exp	0.940529	f heteroclitus j5 foregut mucosa a number	f heteroclitus j2 foregut mucosa a number
description_exp	0.87001747	f heteroclitus j5 foregut mucosa a number	f heteroclitus c1 hindgut mucosa a number
description_exp	0.85609084	f heteroclitus j5 foregut mucosa a number	f heteroclitus p3 hindgut mucosa b number
description_exp	0.9145327	f heteroclitus j5 foregut mucosa a number	f heteroclitus j5 foregut mucosa b number
