attr	score	s1	s2
symptom_sam	0.89771616	dengue hemorrhagic fever/dengue shock syndrome	dengue fever
symptom_sam	0.9289793	chill msk fatigue headache	msk fatigue throat headache taste
symptom_sam	0.7460253	throat	msk fatigue throat headache taste
symptom_sam	0.90458477	headache	msk fatigue throat headache taste
symptom_sam	0.7256278	headache	dengue hemorrhagic fever/dengue shock syndrome
symptom_sam	0.8734434	headache	chill msk fatigue headache
symptom_sam	0.83461237	msk throat sob taste	msk fatigue throat headache taste
symptom_sam	0.7292286	msk throat sob taste	chill msk fatigue headache
symptom_sam	0.9205407	throat headache	msk fatigue throat headache taste
symptom_sam	0.80855644	throat headache	chill msk fatigue headache
symptom_sam	0.9004939	throat headache	throat
symptom_sam	0.88703555	throat headache	headache
symptom_sam	0.7344616	throat headache	msk throat sob taste
symptom_sam	0.9097466	subj_fvr msk fatigue rn_nose throat sob headache taste abd	msk fatigue throat headache taste
symptom_sam	0.827983	subj_fvr msk fatigue rn_nose throat sob headache taste abd	chill msk fatigue headache
symptom_sam	0.71449846	subj_fvr msk fatigue rn_nose throat sob headache taste abd	throat
symptom_sam	0.8154006	subj_fvr msk fatigue rn_nose throat sob headache taste abd	headache
symptom_sam	0.86429447	subj_fvr msk fatigue rn_nose throat sob headache taste abd	msk throat sob taste
symptom_sam	0.85399157	subj_fvr msk fatigue rn_nose throat sob headache taste abd	throat headache
symptom_sam	0.7460253	subj_fvr throat	msk fatigue throat headache taste
symptom_sam	0.9999999	subj_fvr throat	throat
symptom_sam	0.9004939	subj_fvr throat	throat headache
symptom_sam	0.71449846	subj_fvr throat	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.8207594	fvr chill cough headache	msk fatigue throat headache taste
symptom_sam	0.82711715	fvr chill cough headache	chill msk fatigue headache
symptom_sam	0.82445824	fvr chill cough headache	headache
symptom_sam	0.7042423	fvr chill cough headache	msk throat sob taste
symptom_sam	0.7917788	fvr chill cough headache	throat headache
symptom_sam	0.7910251	fvr chill cough headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.83633417	fvr msk fatigue cough sob headache	msk fatigue throat headache taste
symptom_sam	0.85402954	fvr msk fatigue cough sob headache	chill msk fatigue headache
symptom_sam	0.83244824	fvr msk fatigue cough sob headache	headache
symptom_sam	0.7645918	fvr msk fatigue cough sob headache	msk throat sob taste
symptom_sam	0.7689937	fvr msk fatigue cough sob headache	throat headache
symptom_sam	0.84392947	fvr msk fatigue cough sob headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.8888458	fvr msk fatigue cough sob headache	fvr chill cough headache
symptom_sam	0.7123421	msk cough	chill msk fatigue headache
symptom_sam	0.7435195	msk cough	fvr chill cough headache
symptom_sam	0.833682	msk cough	fvr msk fatigue cough sob headache
symptom_sam	0.92342544	msk throat cough sob headache taste	msk fatigue throat headache taste
symptom_sam	0.8279458	msk throat cough sob headache taste	chill msk fatigue headache
symptom_sam	0.7405644	msk throat cough sob headache taste	throat
symptom_sam	0.82379496	msk throat cough sob headache taste	headache
symptom_sam	0.9233317	msk throat cough sob headache taste	msk throat sob taste
symptom_sam	0.87356126	msk throat cough sob headache taste	throat headache
symptom_sam	0.91607577	msk throat cough sob headache taste	subj_fvr msk fatigue rn_nose throat sob headache taste abd
