attr	score	s1	s2
taxonomy_species_sam	0.7517576	tragelaphus strepsiceros	pycnonotus barbatus
taxonomy_species_sam	0.93567854	nestor notabilis	nestor meridionalis
taxonomy_species_sam	0.74941015	desmodus rotundus	pycnonotus barbatus
taxonomy_species_sam	0.7399871	echinops telfairi	pycnonotus barbatus
taxonomy_species_sam	0.76444393	echinops telfairi	tragelaphus strepsiceros
taxonomy_species_sam	0.74306303	echinops telfairi	desmodus rotundus
taxonomy_species_sam	0.72255045	cinnyricinclus leucogaster	pycnonotus barbatus
taxonomy_species_sam	1.0000002	polyplax sp	lipoptena sp
taxonomy_species_sam	0.75636375	paroaria coronata	pycnonotus barbatus
taxonomy_species_sam	0.77858084	paroaria coronata	desmodus rotundus
taxonomy_species_sam	0.80502087	paroaria coronata	echinops telfairi
taxonomy_species_sam	0.7722343	paroaria coronata	cinnyricinclus leucogaster
taxonomy_species_sam	0.7823379	rhyticeros undulatus	tragelaphus strepsiceros
taxonomy_species_sam	0.8173252	rhyticeros undulatus	echinops telfairi
taxonomy_species_sam	0.8692487	apteryx australis	gallirallus australis
taxonomy_species_sam	0.7435411	geospiza septentrionalis	pycnonotus barbatus
taxonomy_species_sam	0.71746445	geospiza septentrionalis	echinops telfairi
taxonomy_species_sam	0.7959062	geospiza septentrionalis	paroaria coronata
taxonomy_species_sam	1.0000002	archaeopsylla sp	lipoptena sp
taxonomy_species_sam	1.0000002	archaeopsylla sp	polyplax sp
taxonomy_species_sam	0.7155307	uroplatus lineatus	spizella pallida
taxonomy_species_sam	0.7193438	uroplatus lineatus	pycnonotus barbatus
taxonomy_species_sam	0.7393812	uroplatus lineatus	desmodus rotundus
taxonomy_species_sam	0.8229514	uroplatus lineatus	echinops telfairi
taxonomy_species_sam	0.7356067	uroplatus lineatus	cinnyricinclus leucogaster
taxonomy_species_sam	0.84183663	uroplatus lineatus	paroaria coronata
taxonomy_species_sam	0.7063808	uroplatus lineatus	rhyticeros undulatus
taxonomy_species_sam	0.7870841	uroplatus lineatus	geospiza septentrionalis
taxonomy_species_sam	1.0000002	hoplopleura sp	lipoptena sp
taxonomy_species_sam	1.0000002	hoplopleura sp	polyplax sp
taxonomy_species_sam	1.0000002	hoplopleura sp	archaeopsylla sp
taxonomy_species_sam	0.8715631	papio ursinus	melursus ursinus
taxonomy_species_sam	0.7068358	cacatua galerita	pycnonotus barbatus
taxonomy_species_sam	0.7538421	cacatua galerita	tragelaphus strepsiceros
taxonomy_species_sam	0.7840355	cacatua galerita	echinops telfairi
taxonomy_species_sam	0.7086587	cacatua galerita	paroaria coronata
taxonomy_species_sam	0.7150521	cacatua galerita	rhyticeros undulatus
taxonomy_species_sam	0.7634143	cacatua galerita	uroplatus lineatus
taxonomy_species_sam	0.7444693	muscicapa adusta	pycnonotus barbatus
taxonomy_species_sam	0.7019088	muscicapa adusta	serinus canicollis
taxonomy_species_sam	0.7618088	muscicapa adusta	echinops telfairi
taxonomy_species_sam	0.7129403	muscicapa adusta	paroaria coronata
taxonomy_species_sam	0.7085477	muscicapa adusta	geospiza septentrionalis
taxonomy_species_sam	0.7457052	muscicapa adusta	uroplatus lineatus
taxonomy_species_sam	0.791283	muscicapa adusta	cacatua galerita
taxonomy_species_sam	0.7653801	galictis vittata	paroaria coronata
taxonomy_species_sam	0.7387377	galictis vittata	geospiza septentrionalis
taxonomy_species_sam	0.75389576	galictis vittata	uroplatus lineatus
taxonomy_species_sam	0.7448643	alouatta pigra	pycnonotus barbatus
taxonomy_species_sam	0.8067007	alouatta pigra	tragelaphus strepsiceros
taxonomy_species_sam	0.7187044	alouatta pigra	echinops telfairi
taxonomy_species_sam	0.7300376	alouatta pigra	rhyticeros undulatus
taxonomy_species_sam	0.723325	alouatta pigra	anolis allisoni
taxonomy_species_sam	0.7031723	alouatta pigra	uroplatus lineatus
taxonomy_species_sam	0.7856073	alouatta pigra	cacatua galerita
taxonomy_species_sam	0.7411377	alouatta pigra	muscicapa adusta
taxonomy_species_sam	0.72616446	cynictis penicillata	pycnonotus barbatus
taxonomy_species_sam	0.7629376	cynictis penicillata	tragelaphus strepsiceros
taxonomy_species_sam	0.77128893	cynictis penicillata	desmodus rotundus
taxonomy_species_sam	0.8134292	cynictis penicillata	echinops telfairi
taxonomy_species_sam	0.7780054	cynictis penicillata	paroaria coronata
taxonomy_species_sam	0.79197127	cynictis penicillata	rhyticeros undulatus
taxonomy_species_sam	0.7048167	cynictis penicillata	coracina pectoralis
taxonomy_species_sam	0.7756244	cynictis penicillata	geospiza septentrionalis
taxonomy_species_sam	0.81733143	cynictis penicillata	uroplatus lineatus
taxonomy_species_sam	0.7601069	cynictis penicillata	cacatua galerita
taxonomy_species_sam	0.73933464	cynictis penicillata	muscicapa adusta
taxonomy_species_sam	0.7413384	cynictis penicillata	galictis vittata
taxonomy_species_sam	0.9999999	callorhinus ursinus	melursus ursinus
taxonomy_species_sam	0.8715631	callorhinus ursinus	papio ursinus
taxonomy_species_sam	0.7450545	tachyglossus aculeatus	echinops telfairi
taxonomy_species_sam	0.7296702	tachyglossus aculeatus	diceros bicornis
taxonomy_species_sam	0.70077527	tachyglossus aculeatus	geospiza septentrionalis
taxonomy_species_sam	0.7089917	tachyglossus aculeatus	uroplatus lineatus
taxonomy_species_sam	0.79135275	tachyglossus aculeatus	cacatua galerita
taxonomy_species_sam	0.74716115	tachyglossus aculeatus	cynictis penicillata
taxonomy_species_sam	0.7281074	phoenicopterus ruber	tragelaphus strepsiceros
taxonomy_species_sam	0.70706725	phoenicopterus ruber	cacatua galerita
taxonomy_species_sam	0.7017977	phoenicopterus ruber	cynictis penicillata
taxonomy_species_sam	0.8537074	eudocimus ruber	phoenicopterus ruber
taxonomy_species_sam	0.7265985	saimiri boliviensis	tragelaphus strepsiceros
taxonomy_species_sam	0.7740241	saimiri boliviensis	echinops telfairi
taxonomy_species_sam	0.7587215	saimiri boliviensis	paroaria coronata
taxonomy_species_sam	0.73347604	saimiri boliviensis	rhyticeros undulatus
taxonomy_species_sam	0.7485232	saimiri boliviensis	geospiza septentrionalis
taxonomy_species_sam	0.8002132	saimiri boliviensis	uroplatus lineatus
taxonomy_species_sam	0.75294644	saimiri boliviensis	galictis vittata
taxonomy_species_sam	0.8094204	saimiri boliviensis	cynictis penicillata
taxonomy_species_sam	0.87248886	equus asinus	equus zebra
taxonomy_species_sam	0.7180908	uraeginthus angolensis	desmodus rotundus
taxonomy_species_sam	0.72957563	uraeginthus angolensis	echinops telfairi
taxonomy_species_sam	0.7101309	uraeginthus angolensis	cinnyricinclus leucogaster
taxonomy_species_sam	0.82211107	uraeginthus angolensis	paroaria coronata
taxonomy_species_sam	0.71033645	uraeginthus angolensis	geospiza septentrionalis
taxonomy_species_sam	0.76603466	uraeginthus angolensis	uroplatus lineatus
taxonomy_species_sam	0.7469555	uraeginthus angolensis	cynictis penicillata
taxonomy_species_sam	0.7369993	uraeginthus angolensis	saimiri boliviensis
taxonomy_species_sam	0.7721589	lonchura fringilloides	pycnonotus barbatus
taxonomy_species_sam	0.82309777	lonchura fringilloides	tragelaphus strepsiceros
taxonomy_species_sam	0.7213721	lonchura fringilloides	echinops telfairi
taxonomy_species_sam	0.7467831	lonchura fringilloides	cinnyricinclus leucogaster
taxonomy_species_sam	0.72168356	lonchura fringilloides	paroaria coronata
taxonomy_species_sam	0.70806175	lonchura fringilloides	geospiza septentrionalis
taxonomy_species_sam	0.72955877	lonchura fringilloides	uroplatus lineatus
taxonomy_species_sam	0.8034845	lonchura fringilloides	cacatua galerita
taxonomy_species_sam	0.73543435	lonchura fringilloides	muscicapa adusta
taxonomy_species_sam	0.7340988	lonchura fringilloides	alouatta pigra
taxonomy_species_sam	0.77986604	lonchura fringilloides	cynictis penicillata
taxonomy_species_sam	0.70852935	lonchura fringilloides	saimiri boliviensis
taxonomy_species_sam	0.81618774	panthera onca	panthera tigris
taxonomy_species_sam	0.78067535	equus burchellii	uroplatus lineatus
taxonomy_species_sam	0.7325988	equus burchellii	equus zebra
taxonomy_species_sam	0.7073174	equus burchellii	cacatua galerita
taxonomy_species_sam	0.86636007	equus burchellii	equus asinus
taxonomy_species_sam	0.7382486	vidua funerea	pycnonotus barbatus
taxonomy_species_sam	0.71547997	vidua funerea	tragelaphus strepsiceros
taxonomy_species_sam	0.7117294	vidua funerea	desmodus rotundus
taxonomy_species_sam	0.8081006	vidua funerea	echinops telfairi
taxonomy_species_sam	0.7629926	vidua funerea	cinnyricinclus leucogaster
taxonomy_species_sam	0.8434136	vidua funerea	paroaria coronata
taxonomy_species_sam	0.71279883	vidua funerea	rhyticeros undulatus
taxonomy_species_sam	0.7887136	vidua funerea	geospiza septentrionalis
taxonomy_species_sam	0.7983673	vidua funerea	uroplatus lineatus
taxonomy_species_sam	0.7714194	vidua funerea	cacatua galerita
taxonomy_species_sam	0.8070804	vidua funerea	muscicapa adusta
taxonomy_species_sam	0.70812047	vidua funerea	galictis vittata
taxonomy_species_sam	0.8470928	vidua funerea	cynictis penicillata
taxonomy_species_sam	0.7080256	vidua funerea	uraeginthus angolensis
taxonomy_species_sam	0.8224116	vidua funerea	lonchura fringilloides
taxonomy_species_sam	0.7220305	panthera leo	panthera tigris
taxonomy_species_sam	0.8221633	panthera leo	panthera onca
taxonomy_species_sam	0.75907093	parahyaena brunnea	geospiza septentrionalis
taxonomy_species_sam	0.70188797	parahyaena brunnea	galictis vittata
taxonomy_species_sam	0.7062633	parahyaena brunnea	vidua funerea
taxonomy_species_sam	0.7226654	sarcophilus harrisii	desmodus rotundus
taxonomy_species_sam	0.74499667	sarcophilus harrisii	echinops telfairi
taxonomy_species_sam	0.8119016	sarcophilus harrisii	paroaria coronata
taxonomy_species_sam	0.73829263	sarcophilus harrisii	rhyticeros undulatus
taxonomy_species_sam	0.80524135	sarcophilus harrisii	geospiza septentrionalis
taxonomy_species_sam	0.80871093	sarcophilus harrisii	uroplatus lineatus
taxonomy_species_sam	0.7743419	sarcophilus harrisii	galictis vittata
taxonomy_species_sam	0.8463755	sarcophilus harrisii	cynictis penicillata
taxonomy_species_sam	0.77943605	sarcophilus harrisii	saimiri boliviensis
taxonomy_species_sam	0.7501312	sarcophilus harrisii	uraeginthus angolensis
taxonomy_species_sam	0.7857737	sarcophilus harrisii	vidua funerea
taxonomy_species_sam	0.7436801	sarcophilus harrisii	parahyaena brunnea
taxonomy_species_sam	0.7859361	phoenicopterus chilensis	tragelaphus strepsiceros
taxonomy_species_sam	0.72680855	phoenicopterus chilensis	rhyticeros undulatus
taxonomy_species_sam	0.73154646	phoenicopterus chilensis	anolis allisoni
taxonomy_species_sam	0.75955003	phoenicopterus chilensis	geospiza septentrionalis
taxonomy_species_sam	0.756133	phoenicopterus chilensis	uroplatus lineatus
taxonomy_species_sam	0.71536195	phoenicopterus chilensis	cacatua galerita
taxonomy_species_sam	0.70857185	phoenicopterus chilensis	muscicapa adusta
taxonomy_species_sam	0.7785988	phoenicopterus chilensis	cynictis penicillata
taxonomy_species_sam	0.8829354	phoenicopterus chilensis	phoenicopterus ruber
taxonomy_species_sam	0.7042499	phoenicopterus chilensis	saimiri boliviensis
taxonomy_species_sam	0.7105701	phoenicopterus chilensis	lonchura fringilloides
taxonomy_species_sam	0.73486096	phoenicopterus chilensis	vidua funerea
