attr	score	s1	s2
tumor_size_sam	1.0000001	numeric	numeric numeric
tumor_size_sam	1.0000001	number	number 3.5cm
tumor_size_sam	0.79759645	number numeric	numeric numeric
tumor_size_sam	0.79759645	number numeric	numeric
tumor_size_sam	0.8044031	number numeric	number 3.5cm
tumor_size_sam	0.8044031	number numeric	number
tumor_size_sam	1.0000001	number number	number 3.5cm
tumor_size_sam	1.0000001	number number	number
tumor_size_sam	0.8044031	number number	number numeric
tumor_size_sam	1.0000001	number 5.2cm	number 3.5cm
tumor_size_sam	1.0000001	number 5.2cm	number
tumor_size_sam	0.8044031	number 5.2cm	number numeric
tumor_size_sam	1.0000001	number 5.2cm	number number
tumor_size_sam	0.7106668	number x number cm	11-40 mm
tumor_size_sam	0.87778616	number x number cm	number 3.5cm
tumor_size_sam	0.87778616	number x number cm	number
tumor_size_sam	0.7559986	number x number cm	number numeric
tumor_size_sam	0.87778616	number x number cm	number number
tumor_size_sam	0.87778616	number x number cm	number 5.2cm
tumor_size_sam	0.79759645	numeric number	numeric numeric
tumor_size_sam	0.79759645	numeric number	numeric
tumor_size_sam	0.8044031	numeric number	number 3.5cm
tumor_size_sam	0.8044031	numeric number	number
tumor_size_sam	1.0000001	numeric number	number numeric
tumor_size_sam	0.8044031	numeric number	number number
tumor_size_sam	0.8044031	numeric number	number 5.2cm
tumor_size_sam	0.7559986	numeric number	number x number cm
tumor_size_sam	0.8873565	number x number x number cm	number 3.5cm
tumor_size_sam	0.8873565	number x number x number cm	number
tumor_size_sam	0.7699996	number x number x number cm	number numeric
tumor_size_sam	0.8873565	number x number x number cm	number number
tumor_size_sam	0.8873565	number x number x number cm	number 5.2cm
tumor_size_sam	0.9950188	number x number x number cm	number x number cm
tumor_size_sam	0.7699996	number x number x number cm	numeric number
tumor_size_sam	0.77533764	not available	number 3.5cm
tumor_size_sam	0.77533764	not available	number
tumor_size_sam	0.77533764	not available	number number
tumor_size_sam	0.77533764	not available	number 5.2cm
tumor_size_sam	0.7761901	large tumor	large
tumor_size_sam	0.7406844	number cm	11-40 mm
tumor_size_sam	0.8012006	number cm	number 3.5cm
tumor_size_sam	0.8012006	number cm	number
tumor_size_sam	0.8012006	number cm	number number
tumor_size_sam	0.8012006	number cm	number 5.2cm
tumor_size_sam	0.9582899	number cm	number x number cm
tumor_size_sam	0.92502546	number cm	number x number x number cm
tumor_size_sam	0.75976443	small tumor	large
