attr	score	s1	s2
ww_surv_target_1_conc_sam	0.81273234	320,000	64,000
ww_surv_target_1_conc_sam	0.7446904	29,000	64,000
ww_surv_target_1_conc_sam	0.8183323	29,000	320,000
ww_surv_target_1_conc_sam	0.77472144	33,000	64,000
ww_surv_target_1_conc_sam	0.9095983	33,000	320,000
ww_surv_target_1_conc_sam	0.8922447	33,000	29,000
ww_surv_target_1_conc_sam	1.0000001	numeric numeric numeric	numeric
ww_surv_target_1_conc_sam	0.7228672	not performed	number
ww_surv_target_1_conc_sam	0.75437206	9,600	64,000
ww_surv_target_1_conc_sam	0.73707724	9,600	320,000
ww_surv_target_1_conc_sam	0.77557087	9,600	29,000
ww_surv_target_1_conc_sam	0.75982505	9,600	33,000
ww_surv_target_1_conc_sam	0.7623006	not provided	number
ww_surv_target_1_conc_sam	0.8728157	not provided	not performed
ww_surv_target_1_conc_sam	0.72956634	300,000	64,000
ww_surv_target_1_conc_sam	0.82601213	300,000	320,000
ww_surv_target_1_conc_sam	0.7282234	300,000	29,000
ww_surv_target_1_conc_sam	0.84063345	300,000	33,000
ww_surv_target_1_conc_sam	0.8084462	94,000	320,000
ww_surv_target_1_conc_sam	0.7349255	94,000	33,000
ww_surv_target_1_conc_sam	0.77276444	15,000	320,000
ww_surv_target_1_conc_sam	0.76580334	15,000	29,000
ww_surv_target_1_conc_sam	0.88802475	15,000	33,000
ww_surv_target_1_conc_sam	0.9264631	15,000	300,000
ww_surv_target_1_conc_sam	0.74125075	130,000	64,000
ww_surv_target_1_conc_sam	0.9092704	130,000	320,000
ww_surv_target_1_conc_sam	0.8087084	130,000	29,000
ww_surv_target_1_conc_sam	0.91145825	130,000	33,000
ww_surv_target_1_conc_sam	0.9135096	130,000	300,000
ww_surv_target_1_conc_sam	0.841009	130,000	94,000
ww_surv_target_1_conc_sam	0.90721774	130,000	15,000
ww_surv_target_1_conc_sam	0.7288732	11,000	64,000
ww_surv_target_1_conc_sam	0.8223202	11,000	320,000
ww_surv_target_1_conc_sam	0.84303653	11,000	29,000
ww_surv_target_1_conc_sam	0.924423	11,000	33,000
ww_surv_target_1_conc_sam	0.7091402	11,000	9,600
ww_surv_target_1_conc_sam	0.84619594	11,000	300,000
ww_surv_target_1_conc_sam	0.7127844	11,000	94,000
ww_surv_target_1_conc_sam	0.93233126	11,000	15,000
ww_surv_target_1_conc_sam	0.8977705	11,000	130,000
ww_surv_target_1_conc_sam	0.8564107	460,000	320,000
ww_surv_target_1_conc_sam	0.79869825	460,000	29,000
ww_surv_target_1_conc_sam	0.81942904	460,000	33,000
ww_surv_target_1_conc_sam	0.7502935	460,000	9,600
