name	score	s1	s2
diagnostic_pcr_ct_value_1_sam	0.96277237	other specify in notes :25.96 other specify in notes :26.34	other specify in notes :14.02 other specify in notes :15.32 other specify in notes :15.09
diagnostic_pcr_ct_value_1_sam	0.9422698	cov-19=24.43	cov-19=25.64
diagnostic_pcr_ct_value_1_sam	0.90897423	other specify in notes :14.92 :14.35 :14.37	other specify in notes :14.02 other specify in notes :15.32 other specify in notes :15.09
diagnostic_pcr_ct_value_1_sam	0.89989686	other specify in notes :14.92 :14.35 :14.37	other specify in notes :25.96 other specify in notes :26.34
diagnostic_pcr_ct_value_1_sam	0.91739964	n=17.9 orf1ab=15.5	n=19.83 orf1ab=19.88
diagnostic_pcr_ct_value_1_sam	0.90279126	n=14.14 orf1ab=13.40	n=19.83 orf1ab=19.88
diagnostic_pcr_ct_value_1_sam	0.9309329	n=14.14 orf1ab=13.40	n=17.9 orf1ab=15.5
diagnostic_pcr_ct_value_1_sam	0.9590443	other specify in notes :21 other specify in notes :21.9 other specify in notes :0	other specify in notes :14.02 other specify in notes :15.32 other specify in notes :15.09
diagnostic_pcr_ct_value_1_sam	0.9511497	other specify in notes :21 other specify in notes :21.9 other specify in notes :0	other specify in notes :25.96 other specify in notes :26.34
diagnostic_pcr_ct_value_1_sam	0.9041667	cov-19=15.07	cov-19=25.64
diagnostic_pcr_ct_value_1_sam	0.9171096	cov-19=15.07	cov-19=24.43
diagnostic_pcr_ct_value_1_sam	0.9570414	cdc-n1:19 cdc-n2:19 rnasep:29	cdc-n1:17 cdc-n2:17 rnasep:24
diagnostic_pcr_ct_value_1_sam	0.92144746	other specify in notes :19.6	other specify in notes :14.02 other specify in notes :15.32 other specify in notes :15.09
diagnostic_pcr_ct_value_1_sam	0.9223546	other specify in notes :19.6	other specify in notes :25.96 other specify in notes :26.34
diagnostic_pcr_ct_value_1_sam	0.90589726	other specify in notes :19.6	other specify in notes :14.92 :14.35 :14.37
diagnostic_pcr_ct_value_1_sam	0.913588	other specify in notes :19.6	other specify in notes :21 other specify in notes :21.9 other specify in notes :0
diagnostic_pcr_ct_value_1_sam	0.95161545	cdc-n1:19 cdc-n2:19 rnasep:31	cdc-n1:17 cdc-n2:17 rnasep:24
diagnostic_pcr_ct_value_1_sam	0.98499954	cdc-n1:19 cdc-n2:19 rnasep:31	cdc-n1:19 cdc-n2:19 rnasep:29
diagnostic_pcr_ct_value_1_sam	0.9256502	n=18.44 orf1ab=18.12	n=19.83 orf1ab=19.88
diagnostic_pcr_ct_value_1_sam	0.93522596	n=18.44 orf1ab=18.12	n=17.9 orf1ab=15.5
diagnostic_pcr_ct_value_1_sam	0.9199778	n=18.44 orf1ab=18.12	n=14.14 orf1ab=13.40
diagnostic_pcr_ct_value_1_sam	0.9245453	n=16.80 orf1ab=14.82	n=19.83 orf1ab=19.88
diagnostic_pcr_ct_value_1_sam	0.9402591	n=16.80 orf1ab=14.82	n=17.9 orf1ab=15.5
diagnostic_pcr_ct_value_1_sam	0.93733126	n=16.80 orf1ab=14.82	n=14.14 orf1ab=13.40
diagnostic_pcr_ct_value_1_sam	0.93078697	n=16.80 orf1ab=14.82	n=18.44 orf1ab=18.12
diagnostic_pcr_ct_value_1_sam	0.92208767	n=18.3 orf1ab=16.1	n=19.83 orf1ab=19.88
