name	score	s1	s2
glucose_sam	0.9198475	80_mg/dl	98_mg/dl
glucose_sam	0.95997727	83_mg/dl	98_mg/dl
glucose_sam	0.9341488	83_mg/dl	80_mg/dl
glucose_sam	0.95160794	82_mg/dl	98_mg/dl
glucose_sam	0.9426581	82_mg/dl	80_mg/dl
glucose_sam	0.9775832	82_mg/dl	83_mg/dl
glucose_sam	0.9510211	81_mg/dl	98_mg/dl
glucose_sam	0.9500486	81_mg/dl	80_mg/dl
glucose_sam	0.9766596	81_mg/dl	83_mg/dl
glucose_sam	0.9794188	81_mg/dl	82_mg/dl
glucose_sam	0.9546484	69_mg/dl	98_mg/dl
glucose_sam	0.9149504	69_mg/dl	80_mg/dl
glucose_sam	0.9612576	69_mg/dl	83_mg/dl
glucose_sam	0.95495427	69_mg/dl	82_mg/dl
glucose_sam	0.9641696	69_mg/dl	81_mg/dl
glucose_sam	0.9606673	105_mg/dl	98_mg/dl
glucose_sam	0.9159501	105_mg/dl	80_mg/dl
glucose_sam	0.9539876	105_mg/dl	83_mg/dl
glucose_sam	0.94847286	105_mg/dl	82_mg/dl
glucose_sam	0.9537339	105_mg/dl	81_mg/dl
glucose_sam	0.95398223	105_mg/dl	69_mg/dl
glucose_sam	0.9713933	92_mg/dl	98_mg/dl
glucose_sam	0.913792	92_mg/dl	80_mg/dl
glucose_sam	0.96162635	92_mg/dl	83_mg/dl
glucose_sam	0.96458924	92_mg/dl	82_mg/dl
glucose_sam	0.9570433	92_mg/dl	81_mg/dl
glucose_sam	0.9602623	92_mg/dl	69_mg/dl
glucose_sam	0.9565533	92_mg/dl	105_mg/dl
glucose_sam	0.95129883	46_mg/dl	98_mg/dl
glucose_sam	0.9011233	46_mg/dl	80_mg/dl
glucose_sam	0.95697075	46_mg/dl	83_mg/dl
glucose_sam	0.9540243	46_mg/dl	82_mg/dl
glucose_sam	0.95078874	46_mg/dl	81_mg/dl
glucose_sam	0.95999753	46_mg/dl	69_mg/dl
glucose_sam	0.9482445	46_mg/dl	105_mg/dl
glucose_sam	0.96189326	46_mg/dl	92_mg/dl
glucose_sam	0.9767853	99_mg/dl	98_mg/dl
glucose_sam	0.9079556	99_mg/dl	80_mg/dl
glucose_sam	0.9549129	99_mg/dl	83_mg/dl
glucose_sam	0.94706756	99_mg/dl	82_mg/dl
glucose_sam	0.9495236	99_mg/dl	81_mg/dl
glucose_sam	0.95936394	99_mg/dl	69_mg/dl
glucose_sam	0.9641535	99_mg/dl	105_mg/dl
glucose_sam	0.9574963	99_mg/dl	92_mg/dl
glucose_sam	0.9499279	99_mg/dl	46_mg/dl
glucose_sam	0.9624407	89_mg/dl	98_mg/dl
glucose_sam	0.9129925	89_mg/dl	80_mg/dl
glucose_sam	0.968579	89_mg/dl	83_mg/dl
glucose_sam	0.9594765	89_mg/dl	82_mg/dl
glucose_sam	0.9590304	89_mg/dl	81_mg/dl
glucose_sam	0.9610743	89_mg/dl	69_mg/dl
glucose_sam	0.9559954	89_mg/dl	105_mg/dl
glucose_sam	0.9736786	89_mg/dl	92_mg/dl
glucose_sam	0.96103865	89_mg/dl	46_mg/dl
glucose_sam	0.9629576	89_mg/dl	99_mg/dl
glucose_sam	0.9505968	87_mg/dl	98_mg/dl
glucose_sam	0.9071479	87_mg/dl	80_mg/dl
glucose_sam	0.97243756	87_mg/dl	83_mg/dl
glucose_sam	0.9665152	87_mg/dl	82_mg/dl
glucose_sam	0.9562208	87_mg/dl	81_mg/dl
glucose_sam	0.95149064	87_mg/dl	69_mg/dl
glucose_sam	0.9459071	87_mg/dl	105_mg/dl
glucose_sam	0.96111155	87_mg/dl	92_mg/dl
glucose_sam	0.9481406	87_mg/dl	46_mg/dl
glucose_sam	0.9484736	87_mg/dl	99_mg/dl
glucose_sam	0.97587013	87_mg/dl	89_mg/dl
glucose_sam	0.95020103	174_mg/dl	98_mg/dl
glucose_sam	0.9026261	174_mg/dl	80_mg/dl
glucose_sam	0.9488667	174_mg/dl	83_mg/dl
glucose_sam	0.94693947	174_mg/dl	82_mg/dl
glucose_sam	0.9390302	174_mg/dl	81_mg/dl
glucose_sam	0.948473	174_mg/dl	69_mg/dl
glucose_sam	0.95655346	174_mg/dl	105_mg/dl
glucose_sam	0.955694	174_mg/dl	92_mg/dl
glucose_sam	0.9495231	174_mg/dl	46_mg/dl
glucose_sam	0.95096093	174_mg/dl	99_mg/dl
glucose_sam	0.9493911	174_mg/dl	89_mg/dl
glucose_sam	0.9399693	174_mg/dl	87_mg/dl
glucose_sam	0.96849227	95_mg/dl	98_mg/dl
glucose_sam	0.919563	95_mg/dl	80_mg/dl
glucose_sam	0.94594485	95_mg/dl	83_mg/dl
glucose_sam	0.9373676	95_mg/dl	82_mg/dl
glucose_sam	0.9454204	95_mg/dl	81_mg/dl
glucose_sam	0.9532746	95_mg/dl	69_mg/dl
glucose_sam	0.9587674	95_mg/dl	105_mg/dl
glucose_sam	0.9639389	95_mg/dl	92_mg/dl
glucose_sam	0.9397681	95_mg/dl	46_mg/dl
glucose_sam	0.9624152	95_mg/dl	99_mg/dl
glucose_sam	0.9529649	95_mg/dl	89_mg/dl
glucose_sam	0.9386545	95_mg/dl	87_mg/dl
glucose_sam	0.93921375	95_mg/dl	174_mg/dl
glucose_sam	0.97258615	93_mg/dl	98_mg/dl
glucose_sam	0.9074448	93_mg/dl	80_mg/dl
glucose_sam	0.97058344	93_mg/dl	83_mg/dl
glucose_sam	0.9593419	93_mg/dl	82_mg/dl
glucose_sam	0.95957774	93_mg/dl	81_mg/dl
glucose_sam	0.9653762	93_mg/dl	69_mg/dl
glucose_sam	0.95844793	93_mg/dl	105_mg/dl
glucose_sam	0.98734236	93_mg/dl	92_mg/dl
glucose_sam	0.966221	93_mg/dl	46_mg/dl
glucose_sam	0.96030587	93_mg/dl	99_mg/dl
glucose_sam	0.97578406	93_mg/dl	89_mg/dl
glucose_sam	0.96399736	93_mg/dl	87_mg/dl
glucose_sam	0.9552585	93_mg/dl	174_mg/dl
glucose_sam	0.97037745	93_mg/dl	95_mg/dl
glucose_sam	0.93399155	124/109_mg/dl	98_mg/dl
glucose_sam	0.86949116	124/109_mg/dl	80_mg/dl
glucose_sam	0.92094624	124/109_mg/dl	83_mg/dl
glucose_sam	0.91123956	124/109_mg/dl	82_mg/dl
glucose_sam	0.92158914	124/109_mg/dl	81_mg/dl
glucose_sam	0.9360953	124/109_mg/dl	69_mg/dl
glucose_sam	0.95233506	124/109_mg/dl	105_mg/dl
glucose_sam	0.9312868	124/109_mg/dl	92_mg/dl
glucose_sam	0.92180717	124/109_mg/dl	46_mg/dl
glucose_sam	0.94496906	124/109_mg/dl	99_mg/dl
glucose_sam	0.9369914	124/109_mg/dl	89_mg/dl
glucose_sam	0.92324376	124/109_mg/dl	87_mg/dl
glucose_sam	0.9271483	124/109_mg/dl	174_mg/dl
glucose_sam	0.9272189	124/109_mg/dl	95_mg/dl
glucose_sam	0.9401002	124/109_mg/dl	93_mg/dl
glucose_sam	0.9500313	112_mg/dl	98_mg/dl
glucose_sam	0.88894683	112_mg/dl	80_mg/dl
glucose_sam	0.948555	112_mg/dl	83_mg/dl
glucose_sam	0.944629	112_mg/dl	82_mg/dl
glucose_sam	0.9465555	112_mg/dl	81_mg/dl
glucose_sam	0.94885254	112_mg/dl	69_mg/dl
glucose_sam	0.9611693	112_mg/dl	105_mg/dl
glucose_sam	0.95710963	112_mg/dl	92_mg/dl
glucose_sam	0.9507824	112_mg/dl	46_mg/dl
glucose_sam	0.94565606	112_mg/dl	99_mg/dl
glucose_sam	0.95072365	112_mg/dl	89_mg/dl
glucose_sam	0.9504691	112_mg/dl	87_mg/dl
glucose_sam	0.9390437	112_mg/dl	174_mg/dl
glucose_sam	0.9259775	112_mg/dl	95_mg/dl
glucose_sam	0.95825994	112_mg/dl	93_mg/dl
glucose_sam	0.9501647	112_mg/dl	124/109_mg/dl
glucose_sam	0.9575262	74_mg/dl	98_mg/dl
glucose_sam	0.9226779	74_mg/dl	80_mg/dl
glucose_sam	0.96397483	74_mg/dl	83_mg/dl
glucose_sam	0.962936	74_mg/dl	82_mg/dl
glucose_sam	0.95848894	74_mg/dl	81_mg/dl
glucose_sam	0.9750401	74_mg/dl	69_mg/dl
glucose_sam	0.95286393	74_mg/dl	105_mg/dl
glucose_sam	0.9629488	74_mg/dl	92_mg/dl
glucose_sam	0.9613399	74_mg/dl	46_mg/dl
glucose_sam	0.957993	74_mg/dl	99_mg/dl
glucose_sam	0.9621413	74_mg/dl	89_mg/dl
glucose_sam	0.9525808	74_mg/dl	87_mg/dl
glucose_sam	0.96523273	74_mg/dl	174_mg/dl
glucose_sam	0.95366865	74_mg/dl	95_mg/dl
glucose_sam	0.9611624	74_mg/dl	93_mg/dl
glucose_sam	0.92993987	74_mg/dl	124/109_mg/dl
glucose_sam	0.9429936	74_mg/dl	112_mg/dl
glucose_sam	0.96201277	107_mg/dl	98_mg/dl
glucose_sam	0.9017544	107_mg/dl	80_mg/dl
glucose_sam	0.95380676	107_mg/dl	83_mg/dl
glucose_sam	0.9435919	107_mg/dl	82_mg/dl
glucose_sam	0.9487103	107_mg/dl	81_mg/dl
glucose_sam	0.9532266	107_mg/dl	69_mg/dl
glucose_sam	0.9771589	107_mg/dl	105_mg/dl
glucose_sam	0.9602794	107_mg/dl	92_mg/dl
glucose_sam	0.94938827	107_mg/dl	46_mg/dl
glucose_sam	0.9593559	107_mg/dl	99_mg/dl
glucose_sam	0.9594403	107_mg/dl	89_mg/dl
glucose_sam	0.9556396	107_mg/dl	87_mg/dl
glucose_sam	0.9550408	107_mg/dl	174_mg/dl
glucose_sam	0.9515635	107_mg/dl	95_mg/dl
glucose_sam	0.9600044	107_mg/dl	93_mg/dl
glucose_sam	0.9582788	107_mg/dl	124/109_mg/dl
glucose_sam	0.96456385	107_mg/dl	112_mg/dl
glucose_sam	0.9603267	107_mg/dl	74_mg/dl
glucose_sam	0.96819264	88_mg/dl	98_mg/dl
glucose_sam	0.9262568	88_mg/dl	80_mg/dl
glucose_sam	0.9751775	88_mg/dl	83_mg/dl
glucose_sam	0.96607244	88_mg/dl	82_mg/dl
glucose_sam	0.9660471	88_mg/dl	81_mg/dl
glucose_sam	0.9571343	88_mg/dl	69_mg/dl
glucose_sam	0.95517325	88_mg/dl	105_mg/dl
glucose_sam	0.9724033	88_mg/dl	92_mg/dl
glucose_sam	0.9531059	88_mg/dl	46_mg/dl
glucose_sam	0.95101917	88_mg/dl	99_mg/dl
glucose_sam	0.9836885	88_mg/dl	89_mg/dl
glucose_sam	0.98021805	88_mg/dl	87_mg/dl
glucose_sam	0.9487835	88_mg/dl	174_mg/dl
glucose_sam	0.9505844	88_mg/dl	95_mg/dl
glucose_sam	0.97375125	88_mg/dl	93_mg/dl
glucose_sam	0.92764735	88_mg/dl	124/109_mg/dl
glucose_sam	0.9529987	88_mg/dl	112_mg/dl
glucose_sam	0.9587729	88_mg/dl	74_mg/dl
glucose_sam	0.96305907	88_mg/dl	107_mg/dl
glucose_sam	0.961339	96_mg/dl	98_mg/dl
glucose_sam	0.89776	96_mg/dl	80_mg/dl
glucose_sam	0.9246495	96_mg/dl	83_mg/dl
glucose_sam	0.931603	96_mg/dl	82_mg/dl
glucose_sam	0.9329908	96_mg/dl	81_mg/dl
glucose_sam	0.9320419	96_mg/dl	69_mg/dl
glucose_sam	0.93537045	96_mg/dl	105_mg/dl
glucose_sam	0.95179284	96_mg/dl	92_mg/dl
glucose_sam	0.9341003	96_mg/dl	46_mg/dl
glucose_sam	0.9421482	96_mg/dl	99_mg/dl
glucose_sam	0.92426693	96_mg/dl	89_mg/dl
glucose_sam	0.9244556	96_mg/dl	87_mg/dl
glucose_sam	0.9146267	96_mg/dl	174_mg/dl
glucose_sam	0.95238423	96_mg/dl	95_mg/dl
glucose_sam	0.9507889	96_mg/dl	93_mg/dl
glucose_sam	0.91917956	96_mg/dl	124/109_mg/dl
glucose_sam	0.9358217	96_mg/dl	112_mg/dl
glucose_sam	0.92395765	96_mg/dl	74_mg/dl
glucose_sam	0.926601	96_mg/dl	107_mg/dl
glucose_sam	0.9319572	96_mg/dl	88_mg/dl
glucose_sam	0.96501553	101_mg/dl	98_mg/dl
glucose_sam	0.9038335	101_mg/dl	80_mg/dl
glucose_sam	0.9497671	101_mg/dl	83_mg/dl
glucose_sam	0.9437611	101_mg/dl	82_mg/dl
glucose_sam	0.95509094	101_mg/dl	81_mg/dl
glucose_sam	0.95246327	101_mg/dl	69_mg/dl
glucose_sam	0.96834856	101_mg/dl	105_mg/dl
glucose_sam	0.9556272	101_mg/dl	92_mg/dl
glucose_sam	0.95322657	101_mg/dl	46_mg/dl
glucose_sam	0.96529025	101_mg/dl	99_mg/dl
glucose_sam	0.9570277	101_mg/dl	89_mg/dl
glucose_sam	0.94496673	101_mg/dl	87_mg/dl
