name	score	s1	s2
host_scietific_nam_sam	0.9119461	diceros bicornis	diceros bicornis michaeli
host_scietific_nam_sam	0.96080524	connochates taurinus	connochaetes taurinus
host_scietific_nam_sam	0.90065306	nestor meridionalis	nestor meridionalis septentrionalis
host_scietific_nam_sam	0.9253143	geospiza difficilis septentrionalis	geospiza difficilis
host_scietific_nam_sam	0.95874286	pongo pygmaeus	pongo pygmaeus pygmaeus
host_scietific_nam_sam	0.9548552	psittacus erithacus	psittacus erithacus psittacini
host_scietific_nam_sam	0.9002295	potos flavus megalotus	potos flavus
host_scietific_nam_sam	0.8889301	pongo pygmaeus abelii	pongo pygmaeus pygmaeus
host_scietific_nam_sam	0.8960415	pongo pygmaeus abelii	pongo pygmaeus
host_scietific_nam_sam	0.9244019	ailurus fulgens	ailurus fulgens refulgens
host_scietific_nam_sam	0.8723867	colobus guereza	colobus guereza kikuyensis
host_scietific_nam_sam	0.9002021	tragelaphus eurycerus isaaci	tragelaphus eurycerus
host_scietific_nam_sam	0.8518052	panthera leo	panthera leo krugeri
host_scietific_nam_sam	0.97231615	elephas maximus	elephas maximus maximus
host_scietific_nam_sam	0.95146996	saimiri boliviensis	saimiri boliviensis boliviensis
host_scietific_nam_sam	0.9847698	callosciurus prevostii	callosciurus prevosti
host_scietific_nam_sam	0.9682483	saguinus labiatus	saguinus labiatus labiatus
host_scietific_nam_sam	0.9125006	giraffa camelopardalis reticulata	giraffa camelopardalis
host_scietific_nam_sam	0.96671605	loxodonta africana	loxodonta africana africana
host_scietific_nam_sam	0.95628166	ovis aries	ovis aries aries
host_scietific_nam_sam	0.87934077	equus asinus africanus	equus asinus somalicus
host_scietific_nam_sam	0.91772676	equus burchellii	equus burchelli chapmani
host_scietific_nam_sam	0.8755742	equus burchellii	equus burchellii quagga
host_scietific_nam_sam	0.9130015	capra hircus hircus saanen	capra hircus
host_scietific_nam_sam	0.887354	elephas maximus indicus	elephas maximus maximus
host_scietific_nam_sam	0.9004197	elephas maximus indicus	elephas maximus
