name	score	s1	s2
replicate_group_sam	0.9504658	donor_3507_isotype	donor_3835_isotype
replicate_group_sam	0.94911003	nodox_irf4_runx3	nodox_irf4_runx3_tbet
replicate_group_sam	0.9046	day6__batfko__stat3	day6__batfko__stat5
replicate_group_sam	0.8995147	day6__wt__irf4	day6__batfko__irf4
replicate_group_sam	0.854117	day6__wt__irf4	day6__wt__fosl2
replicate_group_sam	0.91457546	liver 24h tgfb	liver 48h tgfb
replicate_group_sam	0.9485193	km_obese_vehicle_28wk_vehicle	kc_obese_vehicle_28wk_vehicle
replicate_group_sam	0.92216134	lung 24h ctrl	lung 6h ctrl
replicate_group_sam	0.9000172	primary_0gy_pd1_tumor_rna	allograft_0gy_pd1_tumor_rna
replicate_group_sam	0.85664934	t_b16f10_pd1_dx400_2dose_8d	t_ct26_pd1_dx400_2dose_8d
replicate_group_sam	0.88487434	ip group d2 number	ip group a number
replicate_group_sam	0.86398184	ip group d2 number	ip group d number
replicate_group_sam	0.85899067	nodox_batf_irf4	nodox_irf4_runx3
replicate_group_sam	0.9004303	350-t4-s	350-t3-s
replicate_group_sam	0.93045413	t_mb49_iso_migg1_2dose_8d	t_tc1_iso_migg1_2dose_8d
replicate_group_sam	0.8651357	dox72h_batf_irf4_runx3_tbet	nodox_irf4_runx3_tbet
replicate_group_sam	0.8918723	dox72h_batf_irf4_runx3_tbet	dox72h_irf4_runx3
replicate_group_sam	0.9000672	dox72h_batf_irf4_runx3_tbet	dox72h_irf4_tbet
replicate_group_sam	0.9282094	350-t3-sb	350-t5-sb
replicate_group_sam	0.896446	t_mbt2_pd1_dx400_2dose_8d	t_ct26_pd1_dx400_2dose_8d
replicate_group_sam	0.8888001	dox72h_irf4_runx3_tbet	nodox_irf4_runx3_tbet
replicate_group_sam	0.9405886	dox72h_irf4_runx3_tbet	dox72h_irf4_runx3
replicate_group_sam	0.9172475	dox72h_irf4_runx3_tbet	dox72h_irf4_tbet
replicate_group_sam	0.97112614	dox72h_irf4_runx3_tbet	dox72h_batf_irf4_runx3_tbet
replicate_group_sam	0.8701204	wt_floxedout_atac	wt_floxready_atac
replicate_group_sam	0.9459076	nodox_batf_irf4_runx3	nodox_irf4_runx3_tbet
replicate_group_sam	0.95397794	nodox_batf_irf4_runx3	nodox_irf4_runx3
replicate_group_sam	0.92113805	nodox_batf_irf4_runx3	nodox_batf_irf4
replicate_group_sam	0.85116035	nodox_batf_irf4_runx3	dox72h_batf_irf4_runx3_tbet
replicate_group_sam	0.91645527	mc38_baseline	t_mc38_baseline
replicate_group_sam	0.92163897	lung 24h tgfb1	lung 48h tgfb1
replicate_group_sam	0.8845716	550-t2-sb	350-t5-sb
replicate_group_sam	0.8533205	550-t2-sb	350-t3-sb
replicate_group_sam	0.9281745	t_emt6_iso_migg1_2dose_8d	t_tc1_iso_migg1_2dose_8d
replicate_group_sam	0.9165881	t_emt6_iso_migg1_2dose_8d	t_mb49_iso_migg1_2dose_8d
replicate_group_sam	0.8577768	t_ct26_baseline	t_mc38_baseline
replicate_group_sam	0.87886256	t_ct26_baseline	t_tc1_baseline
replicate_group_sam	0.8753332	day6__wt__runx3	day6__batf_ko__runx3
replicate_group_sam	0.87083095	day6__batf_ko__tbet	day6__batf_ko__runx3
replicate_group_sam	0.8861784	day6__batf_ko__tbet	day6__wt__tbet
replicate_group_sam	0.90359974	day6__wt__stat3	day6__batfko__stat3
replicate_group_sam	0.9158854	ip group e number	ip group a number
replicate_group_sam	0.85554016	ip group e number	ip group d number
replicate_group_sam	0.8739581	ip group e number	ip group d2 number
replicate_group_sam	0.9228774	cardiac 24h ctrl	cardiac 48h ctrl
replicate_group_sam	0.9595882	rag2-/-	rag2+/-
replicate_group_sam	0.94301134	dox72h_batf_irf4_runx3	dox72h_irf4_runx3
replicate_group_sam	0.96063805	dox72h_batf_irf4_runx3	dox72h_batf_irf4_runx3_tbet
replicate_group_sam	0.9328565	dox72h_batf_irf4_runx3	dox72h_irf4_runx3_tbet
replicate_group_sam	0.8787453	dox72h_batf_irf4_runx3	nodox_batf_irf4_runx3
replicate_group_sam	0.8935068	t_b16f10_iso_migg1_2dose_8d	t_tc1_iso_migg1_2dose_8d
replicate_group_sam	0.8826255	t_b16f10_iso_migg1_2dose_8d	t_mb49_iso_migg1_2dose_8d
replicate_group_sam	0.8987937	t_b16f10_iso_migg1_2dose_8d	t_emt6_iso_migg1_2dose_8d
replicate_group_sam	0.918755	350-t1-sb	350-t5-sb
replicate_group_sam	0.9209887	350-t1-sb	350-t3-sb
replicate_group_sam	0.8817372	350-t1-sb	550-t2-sb
replicate_group_sam	0.94631386	550-t5-sb	350-t5-sb
replicate_group_sam	0.916947	550-t5-sb	550-t2-sb
replicate_group_sam	0.9355636	dox72h_batf_runx3_tbet	dox72h_batf_irf4_runx3_tbet
replicate_group_sam	0.90716785	dox72h_batf_runx3_tbet	dox72h_irf4_runx3_tbet
replicate_group_sam	0.8785192	dox72h_batf_runx3_tbet	dox72h_batf_irf4_runx3
replicate_group_sam	0.9346331	mc38_isotype_1dose_4d	mc38_isotype_2dose_8d
replicate_group_sam	0.9357742	t_cm3_iso_migg1_2dose_8d	t_tc1_iso_migg1_2dose_8d
replicate_group_sam	0.92385805	t_cm3_iso_migg1_2dose_8d	t_mb49_iso_migg1_2dose_8d
replicate_group_sam	0.9291012	t_cm3_iso_migg1_2dose_8d	t_emt6_iso_migg1_2dose_8d
replicate_group_sam	0.87922156	t_cm3_iso_migg1_2dose_8d	t_b16f10_iso_migg1_2dose_8d
replicate_group_sam	0.90368396	cardiac 6h tgfb1	cardiac 48h tgfb1
replicate_group_sam	0.9063085	nodox_batf_tbet	nodox_batf
replicate_group_sam	0.9718892	number	number number
replicate_group_sam	0.8916085	ip group b number	ip group a number
replicate_group_sam	0.92564046	ip group b number	ip group d number
replicate_group_sam	0.86699665	ip group b number	ip group e number
replicate_group_sam	0.95825815	bdl_liver_3w	bdl_liver_5w
replicate_group_sam	0.89829075	nodox_runx3	nodox_irf4_runx3
replicate_group_sam	0.91271067	primary_0gy_iso_tumor_rna	allograft_0gy_iso_tumor_rna
replicate_group_sam	0.93398166	primary_0gy_iso_tumor_rna	primary_20gy_iso_tumor_rna
replicate_group_sam	0.85703653	350-t1-s	350-t3-s
replicate_group_sam	0.88469243	day6__batfko__fosl2	day6__batfko__irf4
replicate_group_sam	0.8538048	day6__batfko__fosl2	day6__batfko__stat5
replicate_group_sam	0.8507079	day6__batfko__fosl2	day6__batf_ko__runx3
