attr	score	s1	s2
collection_label_sam	0.71057814	slowswabc	fastswabd-3
collection_label_sam	0.74235845	dicotrhizomea	dicotrootc
collection_label_sam	0.7662639	inverttype4c-m4	inverttype3a-m1
collection_label_sam	0.8238953	slowswabc-3	fastswabd-3
collection_label_sam	0.864238	slowswabc-3	slowswabc
collection_label_sam	0.92957723	dicotrootc-1	dicotrootc
collection_label_sam	0.707136	dicotstemc-5	dicotrootc
collection_label_sam	0.74569	dicotstemc-5	dicotrootc-1
collection_label_sam	0.9188694	mossa-5	mossa-2
collection_label_sam	0.88050115	inverttype3b-m4	inverttype3a-m1
collection_label_sam	0.8670236	inverttype3b-m4	inverttype4c-m4
collection_label_sam	0.90344167	rockswab3a-m1	rockswab2b-m6
collection_label_sam	0.75987506	monocotroota-4	monocotfruitflowerb-2
collection_label_sam	0.9746026	inverttype3a-m2	inverttype3a-m1
collection_label_sam	0.7477451	inverttype3a-m2	inverttype4c-m4
collection_label_sam	0.865962	inverttype3a-m2	inverttype3b-m4
collection_label_sam	0.7405584	coraltype1a-m6	coraltype3c-m6
collection_label_sam	0.79434395	soilmiddleb-2	soilshallowa-1
collection_label_sam	0.8859582	soilmiddleb-2	soilmiddleb
collection_label_sam	0.77927303	limu3c-m4	limu6b-m3
collection_label_sam	0.7674291	monocotfruita	monocotfruitflowerb-2
collection_label_sam	0.7610367	monocotfruita	monocotroota-4
collection_label_sam	0.71618736	monocotrootc-1	dicotrootc
collection_label_sam	0.7210455	monocotrootc-1	monocotfruitflowerb-2
collection_label_sam	0.78971374	monocotrootc-1	dicotrootc-1
collection_label_sam	0.82749736	monocotrootc-1	monocotroota-4
collection_label_sam	0.8100568	streaminvertl	streaminverta-2
collection_label_sam	0.79732007	inverttype6c-m3	inverttype3a-m1
collection_label_sam	0.8202049	inverttype6c-m3	inverttype4c-m4
collection_label_sam	0.8023978	inverttype6c-m3	inverttype3b-m4
collection_label_sam	0.7895329	inverttype6c-m3	inverttype3a-m2
collection_label_sam	0.86207366	inverttype1c-m2	inverttype3a-m1
collection_label_sam	0.8501782	inverttype1c-m2	inverttype4c-m4
collection_label_sam	0.8196235	inverttype1c-m2	inverttype3b-m4
collection_label_sam	0.8826222	inverttype1c-m2	inverttype3a-m2
collection_label_sam	0.83153015	inverttype1c-m2	inverttype6c-m3
collection_label_sam	0.73904914	limu1a-m5	limu6b-m3
collection_label_sam	0.8433504	limu1a-m5	limu3c-m4
collection_label_sam	0.8925004	inverttype5a-m4	inverttype3a-m1
collection_label_sam	0.83246255	inverttype5a-m4	inverttype4c-m4
collection_label_sam	0.84779525	inverttype5a-m4	inverttype3b-m4
collection_label_sam	0.85947824	inverttype5a-m4	inverttype3a-m2
collection_label_sam	0.79538584	inverttype5a-m4	inverttype6c-m3
collection_label_sam	0.82528913	inverttype5a-m4	inverttype1c-m2
collection_label_sam	0.90938425	ccatype2a-m1	ccatype2b-m4
collection_label_sam	0.864655	r059	r029
collection_label_sam	0.8882674	ccatype3c-m4	ccatype2b-m4
collection_label_sam	0.8373091	ccatype3c-m4	ccatype2a-m1
collection_label_sam	0.7021911	dicotleafa-2	dicotrootc-1
collection_label_sam	0.8797097	drosophilasilvestris	drosophila
collection_label_sam	0.867004	limu4b-m1	limu6b-m3
collection_label_sam	0.8889989	limu4b-m1	limu3c-m4
collection_label_sam	0.8461682	limu4b-m1	limu1a-m5
collection_label_sam	0.97471964	soilshallowa-4	soilshallowa-1
collection_label_sam	0.7776558	soilshallowa-4	soilmiddleb-2
collection_label_sam	0.86191654	inverttype7a-m6	inverttype3a-m1
collection_label_sam	0.7497395	inverttype7a-m6	inverttype4c-m4
collection_label_sam	0.79983884	inverttype7a-m6	inverttype3b-m4
collection_label_sam	0.82113373	inverttype7a-m6	inverttype3a-m2
collection_label_sam	0.8347314	inverttype7a-m6	inverttype6c-m3
collection_label_sam	0.7860067	inverttype7a-m6	inverttype1c-m2
collection_label_sam	0.89748526	inverttype7a-m6	inverttype5a-m4
collection_label_sam	0.9085399	inverttype3c-m1	inverttype3a-m1
collection_label_sam	0.8497679	inverttype3c-m1	inverttype4c-m4
collection_label_sam	0.87711954	inverttype3c-m1	inverttype3b-m4
collection_label_sam	0.88667154	inverttype3c-m1	inverttype3a-m2
collection_label_sam	0.85940003	inverttype3c-m1	inverttype6c-m3
collection_label_sam	0.8957219	inverttype3c-m1	inverttype1c-m2
collection_label_sam	0.7868211	inverttype3c-m1	inverttype5a-m4
collection_label_sam	0.7711179	inverttype3c-m1	inverttype7a-m6
