attr	score	s1	s2
comments_sam	0.77579194	dna143	dna52
comments_sam	0.7771319	mgmt unmethylated	mgmt methylated
comments_sam	0.7218919	dna172	dna52
comments_sam	0.8793348	dna172	dna143
comments_sam	0.74044424	pre-treated radiation	pre-treated radiation temozolomide
comments_sam	0.8382472	dna73	dna143
comments_sam	0.78916943	dna73	dna172
comments_sam	0.8093672	perscribed erythromycin	currently on erythromycin
comments_sam	0.84324855	s074	s014
comments_sam	0.7176771	s054	s014
comments_sam	0.7476493	s054	s074
comments_sam	0.86522436	dna138	dna143
comments_sam	0.74943984	dna138	dna172
comments_sam	0.8897424	dna138	dna73
comments_sam	0.74425364	dna99	dna143
comments_sam	0.86226636	dna99	dna73
comments_sam	0.8829803	dna99	dna138
comments_sam	0.7021933	cyst on intestine tape worm on liver	worm on large intestine
comments_sam	0.70075893	dna2	dna52
comments_sam	0.7675267	dna2	dna143
comments_sam	0.72793376	dna2	dna172
comments_sam	0.7873039	cysts on stomach alimentary canal taken	cysts all over intestine
comments_sam	0.7892597	dna95	dna143
comments_sam	0.70993423	dna95	dna172
comments_sam	0.9076514	dna95	dna73
comments_sam	0.9079676	dna95	dna138
comments_sam	0.96233463	dna95	dna99
comments_sam	0.7002301	s030	s074
comments_sam	0.82066536	s030	s054
comments_sam	0.7082004	baby has a cold gave birth at buzuruga brith weight 2.6kg agpar number min=8 5min=10	at birth baby weighed 3.3kg agpar score number min=8 5min=10
comments_sam	0.84367	s032	s054
comments_sam	0.8871343	s032	s030
comments_sam	0.73011273	s064	s014
comments_sam	0.7783372	s064	s074
comments_sam	0.82598233	s064	s054
comments_sam	0.76295805	s064	s030
comments_sam	0.83308786	s064	s032
comments_sam	0.79162407	s072	s014
comments_sam	0.96953005	s072	s074
comments_sam	0.77323437	s072	s054
comments_sam	0.74156797	s072	s030
comments_sam	0.7276435	s072	s032
comments_sam	0.7891114	s072	s064
comments_sam	0.8478862	lots of cysts alimentary canal taken	cysts on stomach alimentary canal taken
comments_sam	0.8961638	measured with hanging scale dna samples in tubes rna lite	measured with hanging scale dna samples in tubes
comments_sam	0.7685045	s028	s014
comments_sam	0.8066136	s028	s074
comments_sam	0.8573507	s028	s054
comments_sam	0.8595103	s028	s030
comments_sam	0.85074365	s028	s032
comments_sam	0.8093615	s028	s064
comments_sam	0.827909	s028	s072
comments_sam	0.8642673	s021	s014
comments_sam	0.82421947	s021	s074
comments_sam	0.7565878	s021	s054
comments_sam	0.7833004	s021	s030
comments_sam	0.71846217	s021	s032
comments_sam	0.7815927	s021	s064
comments_sam	0.81425893	s021	s072
comments_sam	0.8373248	s021	s028
comments_sam	0.81145203	dna34	dna52
comments_sam	0.842132	dna34	dna143
comments_sam	0.7811161	dna34	dna172
comments_sam	0.76491016	dna34	dna73
comments_sam	0.77301407	dna34	dna138
comments_sam	0.7045311	dna34	dna99
comments_sam	0.7061802	dna34	dna2
comments_sam	0.72765386	dna34	dna95
comments_sam	0.705358	dna173	dna52
comments_sam	0.8962442	dna173	dna143
comments_sam	0.959339	dna173	dna172
comments_sam	0.8839402	dna173	dna73
comments_sam	0.84864855	dna173	dna138
comments_sam	0.76763105	dna173	dna99
comments_sam	0.8189602	dna173	dna95
comments_sam	0.7964413	dna173	dna34
