attr	score	s1	s2
diagnostic_pcr_ct_value_1_sam	0.7890823	cov-19=25.64	cov-19= numeric
diagnostic_pcr_ct_value_1_sam	0.8016844	cov-19=17.84	cov-19= numeric
diagnostic_pcr_ct_value_1_sam	0.98022556	cov-19=17.84	cov-19=25.64
diagnostic_pcr_ct_value_1_sam	0.92210555	n=20.2 orf1ab=18.0	n=15.24 orf1ab=13.32
diagnostic_pcr_ct_value_1_sam	0.9304138	n=21.3 orf1ab=23.3	n=15.24 orf1ab=13.32
diagnostic_pcr_ct_value_1_sam	0.9449985	n=21.3 orf1ab=23.3	n=20.2 orf1ab=18.0
diagnostic_pcr_ct_value_1_sam	0.7977927	:14.813 :14.664 :16.215	:19.741 :19.432 :18.758
diagnostic_pcr_ct_value_1_sam	0.80336374	cov-19=17.97	cov-19= numeric
diagnostic_pcr_ct_value_1_sam	0.9753612	cov-19=17.97	cov-19=25.64
diagnostic_pcr_ct_value_1_sam	0.99590874	cov-19=17.97	cov-19=17.84
diagnostic_pcr_ct_value_1_sam	0.8223496	:16.977 :16.812 :16.597	:19.741 :19.432 :18.758
diagnostic_pcr_ct_value_1_sam	0.8543625	:16.977 :16.812 :16.597	:14.813 :14.664 :16.215
diagnostic_pcr_ct_value_1_sam	0.79063547	cov-19=18.57	cov-19= numeric
diagnostic_pcr_ct_value_1_sam	0.9767611	cov-19=18.57	cov-19=25.64
diagnostic_pcr_ct_value_1_sam	0.9895973	cov-19=18.57	cov-19=17.84
diagnostic_pcr_ct_value_1_sam	0.9883274	cov-19=18.57	cov-19=17.97
diagnostic_pcr_ct_value_1_sam	0.7987277	cov-19=15.16	cov-19= numeric
diagnostic_pcr_ct_value_1_sam	0.98092353	cov-19=15.16	cov-19=25.64
diagnostic_pcr_ct_value_1_sam	0.9825468	cov-19=15.16	cov-19=17.84
diagnostic_pcr_ct_value_1_sam	0.9792558	cov-19=15.16	cov-19=17.97
diagnostic_pcr_ct_value_1_sam	0.980158	cov-19=15.16	cov-19=18.57
diagnostic_pcr_ct_value_1_sam	0.85395116	other specify in notes :21.05 other specify in notes :21.33 other specify in notes :21.06	other specify in notes :16.6 other specify in notes :16.7 other specify in notes :0
diagnostic_pcr_ct_value_1_sam	0.7827296	other specify in notes :19.4	other specify in notes :21.05 other specify in notes :21.33 other specify in notes :21.06
diagnostic_pcr_ct_value_1_sam	0.95070946	n=20.22 orf1ab=18.88	n=15.24 orf1ab=13.32
diagnostic_pcr_ct_value_1_sam	0.9653419	n=20.22 orf1ab=18.88	n=20.2 orf1ab=18.0
diagnostic_pcr_ct_value_1_sam	0.9518371	n=20.22 orf1ab=18.88	n=21.3 orf1ab=23.3
diagnostic_pcr_ct_value_1_sam	0.8813322	other specify in notes :20.24 other specify in notes :17.13	other specify in notes :16.6 other specify in notes :16.7 other specify in notes :0
diagnostic_pcr_ct_value_1_sam	0.9497714	other specify in notes :20.24 other specify in notes :17.13	other specify in notes :21.05 other specify in notes :21.33 other specify in notes :21.06
diagnostic_pcr_ct_value_1_sam	0.857426	other specify in notes :20.24 other specify in notes :17.13	other specify in notes :19.4
diagnostic_pcr_ct_value_1_sam	0.70817196	other specify in notes number	other specify in notes :19.4
diagnostic_pcr_ct_value_1_sam	0.97703457	n=16.72 orf1ab=15.76	n=15.24 orf1ab=13.32
diagnostic_pcr_ct_value_1_sam	0.9267081	n=16.72 orf1ab=15.76	n=20.2 orf1ab=18.0
diagnostic_pcr_ct_value_1_sam	0.93046266	n=16.72 orf1ab=15.76	n=21.3 orf1ab=23.3
diagnostic_pcr_ct_value_1_sam	0.949588	n=16.72 orf1ab=15.76	n=20.22 orf1ab=18.88
diagnostic_pcr_ct_value_1_sam	0.98031056	n=15.34 orf1ab=14.10	n=15.24 orf1ab=13.32
diagnostic_pcr_ct_value_1_sam	0.92008036	n=15.34 orf1ab=14.10	n=20.2 orf1ab=18.0
diagnostic_pcr_ct_value_1_sam	0.9043411	n=15.34 orf1ab=14.10	n=21.3 orf1ab=23.3
diagnostic_pcr_ct_value_1_sam	0.925457	n=15.34 orf1ab=14.10	n=20.22 orf1ab=18.88
