attr	score	s1	s2
dissolved_oxygen_sam	0.7634189	288,9147581	277,9435537
dissolved_oxygen_sam	0.8893562	numeric numeric	numeric
dissolved_oxygen_sam	0.75624216	numeric do	numeric
dissolved_oxygen_sam	0.73403287	numeric do	numeric numeric
dissolved_oxygen_sam	0.93049324	number mg/l do	numeric mg/l do
dissolved_oxygen_sam	0.71353257	257,7617529	277,9435537
dissolved_oxygen_sam	0.71452785	257,7617529	288,9147581
dissolved_oxygen_sam	0.73718023	7,01	7,37
dissolved_oxygen_sam	0.70553136	259,7577569	277,9435537
dissolved_oxygen_sam	0.7297251	259,7577569	288,9147581
dissolved_oxygen_sam	0.8420894	259,7577569	257,7617529
dissolved_oxygen_sam	0.7720538	number umol/kg	numeric umol per l
dissolved_oxygen_sam	0.8333074	11,23	11,35
dissolved_oxygen_sam	0.7330763	number do	number
dissolved_oxygen_sam	0.70830286	11,13	0,13
dissolved_oxygen_sam	0.7028433	11,13	11,23
dissolved_oxygen_sam	0.7135392	5,63	5,85
dissolved_oxygen_sam	0.7318455	248,2294756	288,9147581
dissolved_oxygen_sam	0.7103069	248,2294756	257,7617529
dissolved_oxygen_sam	0.75241053	248,2294756	259,7577569
dissolved_oxygen_sam	0.7144568	269,1181617	277,9435537
dissolved_oxygen_sam	0.7303652	269,1181617	288,9147581
dissolved_oxygen_sam	0.78786546	269,1181617	257,7617529
dissolved_oxygen_sam	0.77628267	269,1181617	259,7577569
dissolved_oxygen_sam	0.7136452	269,1181617	248,2294756
dissolved_oxygen_sam	0.7924229	0,23	0,24
dissolved_oxygen_sam	0.72075415	0,23	11,23
dissolved_oxygen_sam	0.7051704	10,36	11,35
dissolved_oxygen_sam	0.752845	6,79	6,91
dissolved_oxygen_sam	0.7143582	10,93	6,91
dissolved_oxygen_sam	0.7375964	231,6661104	257,7617529
dissolved_oxygen_sam	0.73962986	231,6661104	259,7577569
dissolved_oxygen_sam	0.7170099	231,6661104	269,1181617
dissolved_oxygen_sam	0.71734726	244,2462204	288,9147581
dissolved_oxygen_sam	0.76516414	244,2462204	257,7617529
dissolved_oxygen_sam	0.7898379	244,2462204	259,7577569
dissolved_oxygen_sam	0.88022536	244,2462204	248,2294756
dissolved_oxygen_sam	0.765185	244,2462204	269,1181617
dissolved_oxygen_sam	0.7663176	244,2462204	231,6661104
dissolved_oxygen_sam	0.76937824	7,81	7,37
dissolved_oxygen_sam	0.7010293	7,81	7,01
dissolved_oxygen_sam	0.7939233	7,81	8,71
dissolved_oxygen_sam	0.79113	7,81	6,79
dissolved_oxygen_sam	0.8139379	11,24	11,35
dissolved_oxygen_sam	0.8899243	11,24	11,23
dissolved_oxygen_sam	0.7829158	11,24	11,13
dissolved_oxygen_sam	0.70997393	9,84	10,93
dissolved_oxygen_sam	0.72386116	9,84	9,38
dissolved_oxygen_sam	0.9214237	7,36	7,37
dissolved_oxygen_sam	0.755815	7,36	7,81
dissolved_oxygen_sam	0.86967295	6,85	5,85
dissolved_oxygen_sam	0.83627367	6,85	6,91
dissolved_oxygen_sam	0.78320473	6,85	6,79
dissolved_oxygen_sam	0.7331488	6,85	7,81
dissolved_oxygen_sam	0.7375181	10,28	10,36
dissolved_oxygen_sam	0.72178465	279,026888	277,9435537
dissolved_oxygen_sam	0.73901343	279,026888	288,9147581
dissolved_oxygen_sam	0.72356695	279,026888	257,7617529
dissolved_oxygen_sam	0.76581895	279,026888	259,7577569
dissolved_oxygen_sam	0.7287735	279,026888	248,2294756
dissolved_oxygen_sam	0.801563	279,026888	269,1181617
dissolved_oxygen_sam	0.711313	279,026888	244,2462204
dissolved_oxygen_sam	0.7127255	8,61	8,54
dissolved_oxygen_sam	0.71453106	8,61	8,71
dissolved_oxygen_sam	0.7912142	8,61	10,61
dissolved_oxygen_sam	0.7354458	310,7994754	288,9147581
dissolved_oxygen_sam	0.78277373	5,24	0,24
dissolved_oxygen_sam	0.71516097	5,24	11,24
dissolved_oxygen_sam	0.9047249	11,34	11,35
dissolved_oxygen_sam	0.8269111	11,34	11,23
dissolved_oxygen_sam	0.7919354	11,34	11,24
dissolved_oxygen_sam	0.8139524	0,26	0,24
dissolved_oxygen_sam	0.80959934	0,26	0,23
dissolved_oxygen_sam	0.7960538	7,55	7,37
dissolved_oxygen_sam	0.7493491	7,55	7,36
dissolved_oxygen_sam	0.7686467	9,58	9,38
dissolved_oxygen_sam	0.88983	11,33	11,35
dissolved_oxygen_sam	0.86018455	11,33	11,23
dissolved_oxygen_sam	0.7942287	11,33	11,24
dissolved_oxygen_sam	0.9401664	11,33	11,34
dissolved_oxygen_sam	0.7799135	7,16	7,3
dissolved_oxygen_sam	0.8336411	8,88	8,71
dissolved_oxygen_sam	0.7144041	8,88	7,81
dissolved_oxygen_sam	0.7927649	9,47	9,38
dissolved_oxygen_sam	0.7452993	9,47	9,58
dissolved_oxygen_sam	0.7364179	257,6405525	277,9435537
dissolved_oxygen_sam	0.7432791	257,6405525	288,9147581
dissolved_oxygen_sam	0.9495238	257,6405525	257,7617529
dissolved_oxygen_sam	0.808444	257,6405525	259,7577569
dissolved_oxygen_sam	0.7239288	257,6405525	248,2294756
dissolved_oxygen_sam	0.7727569	257,6405525	269,1181617
dissolved_oxygen_sam	0.7282485	257,6405525	231,6661104
dissolved_oxygen_sam	0.7812221	257,6405525	244,2462204
dissolved_oxygen_sam	0.71388835	257,6405525	279,026888
dissolved_oxygen_sam	0.8718246	11,28	11,35
dissolved_oxygen_sam	0.87588716	11,28	11,23
dissolved_oxygen_sam	0.7499803	11,28	11,13
dissolved_oxygen_sam	0.8715036	11,28	11,24
dissolved_oxygen_sam	0.7980392	11,28	10,28
dissolved_oxygen_sam	0.8535599	11,28	11,34
dissolved_oxygen_sam	0.8557619	11,28	11,33
dissolved_oxygen_sam	0.7342089	281,36	288,5
dissolved_oxygen_sam	0.7988213	7,61	7,37
dissolved_oxygen_sam	0.73146355	7,61	7,01
dissolved_oxygen_sam	0.74473256	7,61	7,81
dissolved_oxygen_sam	0.7687	7,61	7,36
dissolved_oxygen_sam	0.77072704	7,61	10,61
dissolved_oxygen_sam	0.77111906	7,61	8,61
dissolved_oxygen_sam	0.810692	7,61	7,55
dissolved_oxygen_sam	0.7655211	389,88	364,87
dissolved_oxygen_sam	0.7459478	9,59	9,38
dissolved_oxygen_sam	0.8816278	9,59	9,58
dissolved_oxygen_sam	0.7225034	9,59	9,47
dissolved_oxygen_sam	0.73342115	8,01	7,01
dissolved_oxygen_sam	0.75074506	11,83	11,35
dissolved_oxygen_sam	0.76490986	11,83	11,23
