attr	score	s1	s2
experimental_factor__rna_interference_exp	0.7848798	nqo1 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7252936	scrambled shrna	scrambled sirna
experimental_factor__rna_interference_exp	0.7334697	linc00707 knockdown by sirna number	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7118436	linc00707 knockdown by sirna number	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7189086	control shrna	endogenous smarcad1 knockdown by shrna
experimental_factor__rna_interference_exp	0.70979714	control shrna	etv5 shrna
experimental_factor__rna_interference_exp	0.84212625	klf5 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.778951	klf5 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7240027	son shrna	fkh shrna
experimental_factor__rna_interference_exp	0.74223995	non-targeting sirna	control sirna
experimental_factor__rna_interference_exp	0.7104875	non-targeting sirna	cdyl1 knockdown by sirna
experimental_factor__rna_interference_exp	0.70505524	larp1 knockdown by shrna	tbx2 knockdown by shrna number
experimental_factor__rna_interference_exp	0.73982227	larp1 knockdown by shrna	mycn knockdown by shrna
experimental_factor__rna_interference_exp	0.88095915	mycn and tbx2 knockdown by shrna number	tbx2 knockdown by shrna number
experimental_factor__rna_interference_exp	0.8115511	mycn and tbx2 knockdown by shrna number	mycn knockdown by shrna
experimental_factor__rna_interference_exp	0.77620006	jak1 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.79695463	jak1 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.8140266	jak1 knockdown by sirna	klf5 knockdown by sirna
experimental_factor__rna_interference_exp	0.70537615	ck2alpha knockdown by sirna	cdyl1 knockdown by sirna
experimental_factor__rna_interference_exp	0.70713097	fto sirna	sf3a3 sirna
experimental_factor__rna_interference_exp	0.7050767	fto sirna	control sirna
experimental_factor__rna_interference_exp	0.8366338	smg7 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7577032	smg7 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.80437195	smg7 knockdown by sirna	klf5 knockdown by sirna
experimental_factor__rna_interference_exp	0.77075255	smg7 knockdown by sirna	jak1 knockdown by sirna
experimental_factor__rna_interference_exp	0.73460585	mata2 knockdown by shrna	mycn knockdown by shrna
experimental_factor__rna_interference_exp	0.7076422	mata2 knockdown by shrna	smg7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7505723	mir120 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.751153	mir120 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.73230475	mir120 knockdown by sirna	linc00707 knockdown by sirna number
experimental_factor__rna_interference_exp	0.7131937	atf4 shrna	etv5 shrna
experimental_factor__rna_interference_exp	0.7054653	igf2bp1 targetting sirna	non-targeting sirna
experimental_factor__rna_interference_exp	0.71876323	cdk2 and rluc control sirna	cdyl1 knockdown by sirna
experimental_factor__rna_interference_exp	0.72628665	sart1 sirna	casc3 sirna
experimental_factor__rna_interference_exp	0.7785325	ape1 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.8183992	ape1 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7757937	ape1 knockdown by sirna	klf5 knockdown by sirna
experimental_factor__rna_interference_exp	0.79723513	ape1 knockdown by sirna	jak1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7658123	ape1 knockdown by sirna	smg7 knockdown by sirna
experimental_factor__rna_interference_exp	0.757154	smu1 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.77679074	smu1 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7805214	smu1 knockdown by sirna	klf5 knockdown by sirna
experimental_factor__rna_interference_exp	0.79758406	smu1 knockdown by sirna	jak1 knockdown by sirna
experimental_factor__rna_interference_exp	0.833425	smu1 knockdown by sirna	smg7 knockdown by sirna
experimental_factor__rna_interference_exp	0.72591746	smu1 knockdown by sirna	mata2 knockdown by shrna
experimental_factor__rna_interference_exp	0.7921306	smu1 knockdown by sirna	ape1 knockdown by sirna
experimental_factor__rna_interference_exp	0.8170507	pnkp sirna	parp sirna
experimental_factor__rna_interference_exp	0.82758254	cpsf6 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7403419	cpsf6 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7288092	cpsf6 knockdown by sirna	linc00707 knockdown by sirna number
experimental_factor__rna_interference_exp	0.7742459	cpsf6 knockdown by sirna	klf5 knockdown by sirna
experimental_factor__rna_interference_exp	0.7413281	cpsf6 knockdown by sirna	smg7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7376101	cpsf6 knockdown by sirna	mir120 knockdown by sirna
experimental_factor__rna_interference_exp	0.7335428	cpsf6 knockdown by sirna	ape1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7152856	cpsf6 knockdown by sirna	smu1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7199049	nurr1 sirna	aqr sirna
experimental_factor__rna_interference_exp	0.7294623	nurr1 sirna	sart1 sirna
experimental_factor__rna_interference_exp	0.7493713	myc sirna	fto sirna
experimental_factor__rna_interference_exp	0.73339754	peg10 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.7507577	peg10 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7306901	peg10 knockdown by sirna	linc00707 knockdown by sirna number
experimental_factor__rna_interference_exp	0.70545304	peg10 knockdown by sirna	smg7 knockdown by sirna
experimental_factor__rna_interference_exp	0.76490664	peg10 knockdown by sirna	mir120 knockdown by sirna
experimental_factor__rna_interference_exp	0.7361315	peg10 knockdown by sirna	ape1 knockdown by sirna
experimental_factor__rna_interference_exp	0.7368213	peg10 knockdown by sirna	cpsf6 knockdown by sirna
experimental_factor__rna_interference_exp	0.8485197	negative control sirna	control sirna
experimental_factor__rna_interference_exp	0.72452533	negative control sirna	non-targeting sirna
experimental_factor__rna_interference_exp	0.7809628	nuak1 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.85311806	nuak1 knockdown by sirna	nqo1 knockdown by sirna
experimental_factor__rna_interference_exp	0.805149	nuak1 knockdown by sirna	klf5 knockdown by sirna
experimental_factor__rna_interference_exp	0.86839247	nuak1 knockdown by sirna	jak1 knockdown by sirna
experimental_factor__rna_interference_exp	0.78523064	nuak1 knockdown by sirna	smg7 knockdown by sirna
experimental_factor__rna_interference_exp	0.72125095	nuak1 knockdown by sirna	mir120 knockdown by sirna
experimental_factor__rna_interference_exp	0.82939327	nuak1 knockdown by sirna	ape1 knockdown by sirna
experimental_factor__rna_interference_exp	0.82871735	nuak1 knockdown by sirna	smu1 knockdown by sirna
experimental_factor__rna_interference_exp	0.73261863	nuak1 knockdown by sirna	cpsf6 knockdown by sirna
experimental_factor__rna_interference_exp	0.75846523	nuak1 knockdown by sirna	peg10 knockdown by sirna
experimental_factor__rna_interference_exp	0.7692343	cxorf56 sirna	cfim25 sirna
experimental_factor__rna_interference_exp	0.7819598	cxorf56 sirna	dhx16 sirna
experimental_factor__rna_interference_exp	0.98573685	larp6 sirna-1	larp6 sirna-2
experimental_factor__rna_interference_exp	0.7043438	larp6 sirna-1	rbm15 sirna
experimental_factor__rna_interference_exp	0.7093706	larp6 sirna-1	nurr1 sirna
experimental_factor__rna_interference_exp	0.7163819	nudt21 sirna	cfim25 sirna
experimental_factor__rna_interference_exp	0.70612365	nudt21 sirna	dhx16 sirna
experimental_factor__rna_interference_exp	0.7650404	wild type	wild type genotype
experimental_factor__rna_interference_exp	0.78927577	ago2 knockdown by sirna	irf7 knockdown by sirna
experimental_factor__rna_interference_exp	0.82692605	ago2 knockdown by sirna	nqo1 knockdown by sirna
