attr	score	s1	s2
mlst__scheme_sam	0.77969724	st235	st190
mlst__scheme_sam	0.91239697	st1978	st190
mlst__scheme_sam	0.7310121	st1978	st235
mlst__scheme_sam	0.70558834	oxford mlst n\m	oxford mlst number
mlst__scheme_sam	0.75182503	st258	st190
mlst__scheme_sam	0.80579674	st258	st235
mlst__scheme_sam	0.70083654	st258	st1978
mlst__scheme_sam	0.8083757	st2 pasteur	st218 oxford st2 pasteur
mlst__scheme_sam	0.8701993	st208 and st1806 oxford st2 pasteur	st218 oxford st2 pasteur
mlst__scheme_sam	0.7353804	st208 and st1806 oxford st2 pasteur	st1809 or st451 multiple perfect hits oxford st2 pasteur
mlst__scheme_sam	0.7704411	st208 and st1806 oxford st2 pasteur	st2 pasteur
mlst__scheme_sam	0.8125813	st231	st190
mlst__scheme_sam	0.96430844	st231	st235
mlst__scheme_sam	0.7680489	st231	st1978
mlst__scheme_sam	0.8156971	st231	st258
mlst__scheme_sam	0.7954536	st410	st190
mlst__scheme_sam	0.78862953	st410	st235
mlst__scheme_sam	0.72714597	st410	st1978
mlst__scheme_sam	0.7546345	st410	st258
mlst__scheme_sam	0.8062959	st410	st231
mlst__scheme_sam	0.71651495	st354	st190
mlst__scheme_sam	0.76926184	st354	st258
mlst__scheme_sam	0.702306	st354	st231
mlst__scheme_sam	0.7891333	st354	st410
mlst__scheme_sam	0.78254974	st491	st190
mlst__scheme_sam	0.7244865	st491	st235
mlst__scheme_sam	0.7317938	st491	st1978
mlst__scheme_sam	0.7036257	st491	st258
mlst__scheme_sam	0.7511126	st491	st231
mlst__scheme_sam	0.8038618	st491	st410
mlst__scheme_sam	0.7297518	st491	st354
mlst__scheme_sam	0.77734613	st167	st190
mlst__scheme_sam	0.7875092	st167	st235
mlst__scheme_sam	0.7363257	st167	st1978
mlst__scheme_sam	0.7293365	st167	st258
mlst__scheme_sam	0.77895415	st167	st231
mlst__scheme_sam	0.7668048	st167	st410
mlst__scheme_sam	0.7052979	st167	st354
mlst__scheme_sam	0.7509114	st167	st491
mlst__scheme_sam	0.7151003	st2	st190
mlst__scheme_sam	0.84583783	st1806 and st208 oxford st2 pasteur	st218 oxford st2 pasteur
mlst__scheme_sam	0.73237413	st1806 and st208 oxford st2 pasteur	st1809 or st451 multiple perfect hits oxford st2 pasteur
mlst__scheme_sam	0.7528683	st1806 and st208 oxford st2 pasteur	st2 pasteur
mlst__scheme_sam	0.9849944	st1806 and st208 oxford st2 pasteur	st208 and st1806 oxford st2 pasteur
mlst__scheme_sam	0.75966746	st114	st190
mlst__scheme_sam	0.7416436	st114	st235
mlst__scheme_sam	0.7198962	st114	st1978
mlst__scheme_sam	0.7806687	st114	st231
mlst__scheme_sam	0.8224851	st114	st410
mlst__scheme_sam	0.75782955	st114	st491
mlst__scheme_sam	0.7794599	st114	st167
mlst__scheme_sam	0.7262794	st114	st2
mlst__scheme_sam	0.9629526	st208 or st1806 multiple perfect hits oxford st2 pasteur	st1809 or st451 multiple perfect hits oxford st2 pasteur
mlst__scheme_sam	0.7430189	st208 or st1806 multiple perfect hits oxford st2 pasteur	st208 and st1806 oxford st2 pasteur
mlst__scheme_sam	0.72953403	st208 or st1806 multiple perfect hits oxford st2 pasteur	st1806 and st208 oxford st2 pasteur
mlst__scheme_sam	0.89758176	st224 ec number st479 ec number	st405 ec number st477 ec number
mlst__scheme_sam	0.71927625	st11	st410
mlst__scheme_sam	0.75936127	st11	st2
mlst__scheme_sam	0.9051316	st11	st114
