attr	score	s1	s2
nitrate_sam	0.8160348	numeric mg l-1	numeric mg/l
nitrate_sam	0.8499608	numeric µmol/kg	numeric mg/l
nitrate_sam	0.70935404	numeric µmol/kg	numeric mg l-1
nitrate_sam	0.95704126	numeric mg/l number mg/l	numeric mg/l
nitrate_sam	0.8181516	numeric mg/l number mg/l	numeric mg l-1
nitrate_sam	0.81139064	numeric mg/l number mg/l	numeric µmol/kg
nitrate_sam	0.8291178	numeric µmol/l	numeric mg/l
nitrate_sam	0.87297946	numeric µmol/l	numeric µmol/kg
nitrate_sam	0.79957736	numeric µmol/l	numeric mg/l number mg/l
nitrate_sam	0.73502517	numeric micro molar	numeric µmol/l
nitrate_sam	0.8933507	numeric um	numeric
nitrate_sam	0.738918	numeric micromoles per liter	numeric mg/l
nitrate_sam	0.7861637	numeric micromoles per liter	numeric µmol/kg
nitrate_sam	0.8523109	numeric micromoles per liter	numeric µmol/l
nitrate_sam	0.7127267	numeric micromoles per liter	numeric micro molar
nitrate_sam	0.7519083	numeric umol/l	numeric ug-n/l
nitrate_sam	0.8940866	number mg/l	numeric mg/l
nitrate_sam	0.75980365	number mg/l	numeric mg l-1
nitrate_sam	0.74548554	number mg/l	numeric µmol/kg
nitrate_sam	0.90184605	number mg/l	numeric mg/l number mg/l
nitrate_sam	0.74819595	number mg/l	numeric µmol/l
nitrate_sam	0.7423402	number µmol/kg	numeric mg/l
nitrate_sam	0.91036594	number µmol/kg	numeric µmol/kg
nitrate_sam	0.73113173	number µmol/kg	numeric mg/l number mg/l
nitrate_sam	0.7792707	number µmol/kg	numeric µmol/l
nitrate_sam	0.72557425	number µmol/kg	numeric micromoles per liter
nitrate_sam	0.7965746	number µmol/kg	number mg/l
nitrate_sam	0.7630696	number µg/l	numeric mg/l
nitrate_sam	0.7338733	number µg/l	numeric µmol/kg
nitrate_sam	0.7612796	number µg/l	numeric mg/l number mg/l
nitrate_sam	0.816045	number µg/l	numeric µmol/l
nitrate_sam	0.7670392	number µg/l	numeric micromoles per liter
nitrate_sam	0.8394172	number µg/l	number mg/l
nitrate_sam	0.7992373	number µg/l	number µmol/kg
nitrate_sam	0.7118244	number µm	number µmol/kg
nitrate_sam	0.77165043	number µm	number µg/l
nitrate_sam	0.75929064	numeric mol/l	numeric mg/l
nitrate_sam	0.7242886	numeric mol/l	numeric µmol/kg
nitrate_sam	0.7335958	numeric mol/l	numeric mg/l number mg/l
nitrate_sam	0.84851146	numeric mol/l	numeric µmol/l
nitrate_sam	0.7296837	numeric mol/l	numeric micromoles per liter
nitrate_sam	0.73459876	numeric mol/l	numeric umol/l
nitrate_sam	0.711028	numeric µmol/dm3	numeric mg/l
nitrate_sam	0.8072391	numeric µmol/dm3	numeric µmol/kg
nitrate_sam	0.83515966	numeric µmol/dm3	numeric µmol/l
nitrate_sam	0.73685807	numeric µmol/dm3	numeric micromoles per liter
nitrate_sam	0.7150627	numeric µmol/dm3	number µmol/kg
nitrate_sam	0.8985213	numeric mg/kg	numeric mg/l
nitrate_sam	0.7486236	numeric mg/kg	numeric mg l-1
nitrate_sam	0.8594378	numeric mg/kg	numeric µmol/kg
nitrate_sam	0.8677108	numeric mg/kg	numeric mg/l number mg/l
nitrate_sam	0.77126634	numeric mg/kg	number mg/l
nitrate_sam	0.7666199	numeric mg/kg	number µmol/kg
nitrate_sam	0.7512026	numeric µm	numeric µmol/kg
nitrate_sam	0.7971537	numeric µm	numeric µmol/l
nitrate_sam	0.7684722	numeric µm	numeric micro molar
nitrate_sam	0.7147156	numeric µm	numeric micromoles per liter
nitrate_sam	0.79608905	numeric µm	numeric mm
nitrate_sam	0.72054327	numeric µm	number µg/l
nitrate_sam	0.8981228	numeric µm	number µm
nitrate_sam	0.7307875	numeric µm	numeric µmol/dm3
nitrate_sam	0.8425338	number mg n/l	numeric mg/l
nitrate_sam	0.74381983	number mg n/l	numeric mg l-1
nitrate_sam	0.851884	number mg n/l	numeric mg/l number mg/l
nitrate_sam	0.91804796	number mg n/l	number mg/l
nitrate_sam	0.7252208	number mg n/l	number µmol/kg
nitrate_sam	0.75470835	number mg n/l	number µg/l
nitrate_sam	0.74516964	number mg n/l	numeric mg/kg
nitrate_sam	0.7295203	0.045mg/l	numeric mg/l
nitrate_sam	0.70843625	0.045mg/l	number mg/l
nitrate_sam	0.9029574	26.64mg/l	0.045mg/l
nitrate_sam	0.7583871	numeric ± numeric	numeric
nitrate_sam	0.7376621	numeric ± numeric	numeric um
nitrate_sam	0.8540652	numeric mg.l-1	numeric mg/l
nitrate_sam	0.9811557	numeric mg.l-1	numeric mg l-1
nitrate_sam	0.72962475	numeric mg.l-1	numeric µmol/kg
nitrate_sam	0.8520395	numeric mg.l-1	numeric mg/l number mg/l
nitrate_sam	0.7284516	numeric mg.l-1	numeric µmol/l
nitrate_sam	0.7919853	numeric mg.l-1	number mg/l
nitrate_sam	0.7616463	numeric mg.l-1	numeric mg/kg
nitrate_sam	0.7699735	numeric mg.l-1	number mg n/l
nitrate_sam	0.9513032	numeric mg n/l	numeric mg/l
nitrate_sam	0.8425391	numeric mg n/l	numeric mg l-1
nitrate_sam	0.8000754	numeric mg n/l	numeric µmol/kg
nitrate_sam	0.93205017	numeric mg n/l	numeric mg/l number mg/l
nitrate_sam	0.7739005	numeric mg n/l	numeric µmol/l
nitrate_sam	0.86026275	numeric mg n/l	number mg/l
nitrate_sam	0.70475423	numeric mg n/l	number µmol/kg
nitrate_sam	0.7139256	numeric mg n/l	number µg/l
nitrate_sam	0.7336456	numeric mg n/l	numeric mol/l
nitrate_sam	0.86828303	numeric mg n/l	numeric mg/kg
nitrate_sam	0.91481996	numeric mg n/l	number mg n/l
nitrate_sam	0.86784035	numeric mg n/l	numeric mg.l-1
nitrate_sam	0.7958095	0,001214286	0,000357143
nitrate_sam	0.8940866	number mg /l	numeric mg/l
nitrate_sam	0.75980365	number mg /l	numeric mg l-1
nitrate_sam	0.74548554	number mg /l	numeric µmol/kg
nitrate_sam	0.90184605	number mg /l	numeric mg/l number mg/l
nitrate_sam	0.74819595	number mg /l	numeric µmol/l
nitrate_sam	1.0000001	number mg /l	number mg/l
nitrate_sam	0.7965746	number mg /l	number µmol/kg
nitrate_sam	0.8394172	number mg /l	number µg/l
nitrate_sam	0.77126634	number mg /l	numeric mg/kg
nitrate_sam	0.91804796	number mg /l	number mg n/l
nitrate_sam	0.70843625	number mg /l	0.045mg/l
nitrate_sam	0.7919853	number mg /l	numeric mg.l-1
nitrate_sam	0.86026275	number mg /l	numeric mg n/l
nitrate_sam	0.8659666	0,001785714	0,000357143
nitrate_sam	0.9349944	0,001785714	0,001214286
nitrate_sam	0.82987577	2.5mg/kg	0.045mg/l
nitrate_sam	0.8257226	2.5mg/kg	26.64mg/l
nitrate_sam	0.8929001	25.23mg/l	0.045mg/l
nitrate_sam	0.97139335	25.23mg/l	26.64mg/l
nitrate_sam	0.8438574	25.23mg/l	2.5mg/kg
nitrate_sam	0.72101164	number ug/l	numeric ug-n/l
nitrate_sam	0.8281373	no nitrate	low nitrate
nitrate_sam	0.8607091	13.2micromoleperliter	9.53micromoleperliter
nitrate_sam	0.90763646	14.68micromoleperliter	9.53micromoleperliter
nitrate_sam	0.9213927	14.68micromoleperliter	13.2micromoleperliter
nitrate_sam	0.7376393	numeric micromoles per l	numeric mg/l
nitrate_sam	0.74492806	numeric micromoles per l	numeric µmol/kg
nitrate_sam	0.70640016	numeric micromoles per l	numeric mg/l number mg/l
nitrate_sam	0.8709973	numeric micromoles per l	numeric µmol/l
nitrate_sam	0.77787805	numeric micromoles per l	numeric micro molar
nitrate_sam	0.9096089	numeric micromoles per l	numeric micromoles per liter
nitrate_sam	0.70277625	numeric micromoles per l	number mg/l
nitrate_sam	0.70406544	numeric micromoles per l	number µmol/kg
nitrate_sam	0.7972481	numeric micromoles per l	number µg/l
nitrate_sam	0.76541543	numeric micromoles per l	numeric mol/l
nitrate_sam	0.7355308	numeric micromoles per l	numeric µmol/dm3
nitrate_sam	0.7476851	numeric micromoles per l	numeric µm
nitrate_sam	0.7080991	numeric micromoles per l	numeric mg n/l
nitrate_sam	0.70277625	numeric micromoles per l	number mg /l
nitrate_sam	0.8930843	25.58mg/l	0.045mg/l
nitrate_sam	0.9717422	25.58mg/l	26.64mg/l
nitrate_sam	0.84046865	25.58mg/l	2.5mg/kg
nitrate_sam	0.99411434	25.58mg/l	25.23mg/l
nitrate_sam	0.8581568	0,001428571	0,000357143
nitrate_sam	0.9405541	0,001428571	0,001214286
nitrate_sam	0.9430871	0,001428571	0,001785714
nitrate_sam	0.8690685	0.15micromoleperliter	9.53micromoleperliter
nitrate_sam	0.8317835	0.15micromoleperliter	13.2micromoleperliter
nitrate_sam	0.902058	0.15micromoleperliter	14.68micromoleperliter
nitrate_sam	0.82508475	number ug-n/l	numeric ug-n/l
nitrate_sam	0.9028015	number ug-n/l	number ug/l
nitrate_sam	0.88352895	0.09micromoleperliter	9.53micromoleperliter
nitrate_sam	0.810157	0.09micromoleperliter	13.2micromoleperliter
nitrate_sam	0.8686109	0.09micromoleperliter	14.68micromoleperliter
nitrate_sam	0.97446895	0.09micromoleperliter	0.15micromoleperliter
nitrate_sam	0.7340094	numeric micromoleperliter	numeric micro molar
nitrate_sam	0.73077834	0mg/kg	numeric mg/kg
nitrate_sam	0.7601909	0mg/kg	0.045mg/l
nitrate_sam	0.8476524	0mg/kg	2.5mg/kg
nitrate_sam	0.71194434	0mg/kg	25.23mg/l
nitrate_sam	0.7138288	0mg/kg	25.58mg/l
nitrate_sam	0.8933538	25.21mg/l	0.045mg/l
nitrate_sam	0.97270894	25.21mg/l	26.64mg/l
nitrate_sam	0.84200096	25.21mg/l	2.5mg/kg
nitrate_sam	0.9972578	25.21mg/l	25.23mg/l
nitrate_sam	0.9928855	25.21mg/l	25.58mg/l
nitrate_sam	0.7060207	25.21mg/l	0mg/kg
nitrate_sam	0.715685	optimal nitrate	low nitrate
nitrate_sam	0.7467319	numeric micromole per liter	numeric mg/l
nitrate_sam	0.79002106	numeric micromole per liter	numeric µmol/kg
nitrate_sam	0.7020405	numeric micromole per liter	numeric mg/l number mg/l
nitrate_sam	0.8569695	numeric micromole per liter	numeric µmol/l
nitrate_sam	0.73703575	numeric micromole per liter	numeric micro molar
nitrate_sam	0.99088603	numeric micromole per liter	numeric micromoles per liter
nitrate_sam	0.7320535	numeric micromole per liter	number µmol/kg
