attr	score	s1	s2
symptom_sam	0.76740074	dengue hemorrhagic fever/dengue shock syndrome	dengue fever
symptom_sam	0.7028879	msk throat sob taste	msk fatigue throat headache taste
symptom_sam	0.79602635	fvr msk fatigue cough sob headache	chill msk fatigue headache
symptom_sam	0.71422744	fvr msk fatigue cough sob headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.7827053	fvr msk fatigue cough sob headache	fvr chill cough headache
symptom_sam	0.8287866	msk throat cough sob headache taste	msk fatigue throat headache taste
symptom_sam	0.84992814	msk throat cough sob headache taste	msk throat sob taste
symptom_sam	0.7123625	msk fatigue throat sob headache abd	msk fatigue throat headache taste
symptom_sam	0.75719804	msk fatigue throat sob headache abd	chill msk fatigue headache
symptom_sam	0.8366166	msk fatigue throat sob headache abd	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.81719553	msk fatigue throat sob headache abd	fvr msk fatigue cough sob headache
symptom_sam	0.7247692	msk fatigue throat sob headache abd	msk throat cough sob headache taste
symptom_sam	0.7357117	fatigue rn_nose throat cough	msk fatigue throat sob headache abd
symptom_sam	0.72363895	fvr subj_fvr chill msk fatigue nv headache taste	chill msk fatigue headache
symptom_sam	0.82355475	fvr subj_fvr chill msk fatigue nv headache taste	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.7097589	fvr subj_fvr chill msk fatigue nv headache taste	fvr chill cough headache
symptom_sam	0.76471996	fvr subj_fvr chill msk fatigue nv headache taste	fvr msk fatigue cough sob headache
symptom_sam	0.7172724	fvr subj_fvr chill msk fatigue nv headache taste	msk fatigue throat sob headache abd
symptom_sam	0.7411947	msk fatigue rn_nose throat cough sob abd	chill msk fatigue headache
symptom_sam	0.78340954	msk fatigue rn_nose throat cough sob abd	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.8276094	msk fatigue rn_nose throat cough sob abd	fvr msk fatigue cough sob headache
symptom_sam	0.8667574	msk fatigue rn_nose throat cough sob abd	msk fatigue throat sob headache abd
symptom_sam	0.85832256	msk fatigue rn_nose throat cough sob abd	fatigue rn_nose throat cough
symptom_sam	0.80312765	fvr subj_fvr chill fatigue throat cough sob headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.7872996	fvr subj_fvr chill fatigue throat cough sob headache	fvr chill cough headache
symptom_sam	0.7883704	fvr subj_fvr chill fatigue throat cough sob headache	fvr msk fatigue cough sob headache
symptom_sam	0.70828545	fvr subj_fvr chill fatigue throat cough sob headache	msk fatigue throat sob headache abd
symptom_sam	0.84362537	fvr subj_fvr chill fatigue throat cough sob headache	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.8000479	fvr subj_fvr rn_nose cough sob headache taste	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.72017705	fvr subj_fvr rn_nose cough sob headache taste	subj_fvr throat
symptom_sam	0.71094	fvr subj_fvr rn_nose cough sob headache taste	msk throat cough sob headache taste
symptom_sam	0.7823461	fvr subj_fvr rn_nose cough sob headache taste	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.78845584	fvr subj_fvr rn_nose cough sob headache taste	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.951134	subj_fvr chill msk fatigue rn_nose throat headache taste abd	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.726617	subj_fvr chill msk fatigue rn_nose throat headache taste abd	fvr msk fatigue cough sob headache
symptom_sam	0.80599964	subj_fvr chill msk fatigue rn_nose throat headache taste abd	msk fatigue throat sob headache abd
symptom_sam	0.8946718	subj_fvr chill msk fatigue rn_nose throat headache taste abd	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.7783601	subj_fvr chill msk fatigue rn_nose throat headache taste abd	msk fatigue rn_nose throat cough sob abd
symptom_sam	0.85298115	subj_fvr chill msk fatigue rn_nose throat headache taste abd	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.7977721	subj_fvr chill msk fatigue rn_nose throat headache taste abd	fvr subj_fvr rn_nose cough sob headache taste
symptom_sam	0.80346966	msk fatigue throat cough sob headache	chill msk fatigue headache
symptom_sam	0.7707826	msk fatigue throat cough sob headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.86799175	msk fatigue throat cough sob headache	fvr msk fatigue cough sob headache
symptom_sam	0.71797466	msk fatigue throat cough sob headache	msk throat cough sob headache taste
symptom_sam	0.94406223	msk fatigue throat cough sob headache	msk fatigue throat sob headache abd
symptom_sam	0.7750914	msk fatigue throat cough sob headache	fatigue rn_nose throat cough
symptom_sam	0.8723291	msk fatigue throat cough sob headache	msk fatigue rn_nose throat cough sob abd
symptom_sam	0.722867	msk fatigue throat cough sob headache	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.75326073	msk fatigue throat cough sob headache	subj_fvr chill msk fatigue rn_nose throat headache taste abd
symptom_sam	0.751415	cough headache	headache
symptom_sam	0.73313946	cough headache	throat headache
symptom_sam	0.71093535	cough headache	fvr chill cough headache
symptom_sam	0.9523475	uti symptoms n/n	uti symptoms n/p
symptom_sam	0.7489834	msk sob headache	chill msk fatigue headache
symptom_sam	0.72231746	msk sob headache	fvr msk fatigue cough sob headache
symptom_sam	0.72202975	fatigue rn_nose throat cough nv headache taste diarr	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.7331376	fatigue rn_nose throat cough nv headache taste diarr	msk fatigue throat sob headache abd
symptom_sam	0.791536	fatigue rn_nose throat cough nv headache taste diarr	fatigue rn_nose throat cough
symptom_sam	0.7618347	fatigue rn_nose throat cough nv headache taste diarr	msk fatigue throat cough sob headache
symptom_sam	0.7141274	fvr subj_fvr chill cough headache	subj_fvr throat
symptom_sam	0.85974246	fvr subj_fvr chill cough headache	fvr chill cough headache
symptom_sam	0.7009429	fvr subj_fvr chill cough headache	fvr msk fatigue cough sob headache
symptom_sam	0.80316234	fvr subj_fvr chill cough headache	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.8700124	fvr subj_fvr chill cough headache	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.7846651	fvr subj_fvr chill cough headache	fvr subj_fvr rn_nose cough sob headache taste
symptom_sam	0.734977	fvr subj_fvr chill cough headache	subj_fvr chill msk fatigue rn_nose throat headache taste abd
symptom_sam	0.8690367	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.7167469	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	fvr msk fatigue cough sob headache
symptom_sam	0.8363479	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.84019697	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.8595754	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	fvr subj_fvr rn_nose cough sob headache taste
symptom_sam	0.8909478	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	subj_fvr chill msk fatigue rn_nose throat headache taste abd
symptom_sam	0.7321304	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec	fvr subj_fvr chill cough headache
symptom_sam	0.7226912	rn_nose throat cough headache diarr	fatigue rn_nose throat cough nv headache taste diarr
symptom_sam	0.7194172	subj_fvr chill msk fatigue rn_nose throat sob headache	chill msk fatigue headache
symptom_sam	0.8697772	subj_fvr chill msk fatigue rn_nose throat sob headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.79384416	subj_fvr chill msk fatigue rn_nose throat sob headache	fvr msk fatigue cough sob headache
symptom_sam	0.77210194	subj_fvr chill msk fatigue rn_nose throat sob headache	msk fatigue throat sob headache abd
symptom_sam	0.83117175	subj_fvr chill msk fatigue rn_nose throat sob headache	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.8072481	subj_fvr chill msk fatigue rn_nose throat sob headache	msk fatigue rn_nose throat cough sob abd
symptom_sam	0.88606524	subj_fvr chill msk fatigue rn_nose throat sob headache	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.7567993	subj_fvr chill msk fatigue rn_nose throat sob headache	fvr subj_fvr rn_nose cough sob headache taste
symptom_sam	0.929399	subj_fvr chill msk fatigue rn_nose throat sob headache	subj_fvr chill msk fatigue rn_nose throat headache taste abd
symptom_sam	0.7800339	subj_fvr chill msk fatigue rn_nose throat sob headache	msk fatigue throat cough sob headache
symptom_sam	0.7708836	subj_fvr chill msk fatigue rn_nose throat sob headache	fvr subj_fvr chill cough headache
symptom_sam	0.89013165	subj_fvr chill msk fatigue rn_nose throat sob headache	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec
symptom_sam	0.75759465	rn_nose throat headache	throat headache
symptom_sam	0.7140064	rn_nose throat headache	fatigue rn_nose throat cough
symptom_sam	0.7317023	rn_nose throat headache	cough headache
symptom_sam	0.77546364	rn_nose throat headache	rn_nose throat cough headache diarr
symptom_sam	0.83656985	subj_fvr msk rn_nose throat cough headache	subj_fvr msk fatigue rn_nose throat sob headache taste abd
symptom_sam	0.7419925	subj_fvr msk rn_nose throat cough headache	subj_fvr throat
symptom_sam	0.70865166	subj_fvr msk rn_nose throat cough headache	msk fatigue throat sob headache abd
symptom_sam	0.76504064	subj_fvr msk rn_nose throat cough headache	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.7317277	subj_fvr msk rn_nose throat cough headache	msk fatigue rn_nose throat cough sob abd
symptom_sam	0.7825656	subj_fvr msk rn_nose throat cough headache	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.8158325	subj_fvr msk rn_nose throat cough headache	fvr subj_fvr rn_nose cough sob headache taste
symptom_sam	0.84625375	subj_fvr msk rn_nose throat cough headache	subj_fvr chill msk fatigue rn_nose throat headache taste abd
symptom_sam	0.7820742	subj_fvr msk rn_nose throat cough headache	fvr subj_fvr chill cough headache
symptom_sam	0.80396914	subj_fvr msk rn_nose throat cough headache	fvr subj_fvr chill msk fatigue rn_nose throat cough sob headache taste other_spec
symptom_sam	0.7306338	subj_fvr msk rn_nose throat cough headache	rn_nose throat cough headache diarr
symptom_sam	0.84845316	subj_fvr msk rn_nose throat cough headache	subj_fvr chill msk fatigue rn_nose throat sob headache
symptom_sam	0.82123435	subj_fvr msk rn_nose throat cough headache	rn_nose throat headache
symptom_sam	0.8745297	subj_fvr cough sob diarr	subj_fvr chill rn_nose sob diarr
symptom_sam	0.7215721	subj_fvr cough sob diarr	fvr subj_fvr chill cough headache
symptom_sam	0.8097531	fvr subj_fvr chill headache	fvr chill cough headache
symptom_sam	0.82321626	fvr subj_fvr chill headache	fvr subj_fvr chill msk fatigue nv headache taste
symptom_sam	0.8244973	fvr subj_fvr chill headache	fvr subj_fvr chill fatigue throat cough sob headache
symptom_sam	0.7269418	fvr subj_fvr chill headache	fvr subj_fvr rn_nose cough sob headache taste
symptom_sam	0.71224	fvr subj_fvr chill headache	subj_fvr chill msk fatigue rn_nose throat headache taste abd
symptom_sam	0.9330529	fvr subj_fvr chill headache	fvr subj_fvr chill cough headache
symptom_sam	0.7446438	fvr subj_fvr chill headache	subj_fvr chill msk fatigue rn_nose throat sob headache
symptom_sam	0.7214766	fvr subj_fvr chill headache	subj_fvr msk rn_nose throat cough headache
symptom_sam	0.8951752	chill msk fatigue cough sob headache	chill msk fatigue headache
