attr	score	s1	s2
taxonomy_species_sam	0.76416314	geospiza septentrionalis	geospiza difficilis
taxonomy_species_sam	0.7416738	uroplatus lineatus	urocolius macrourus
taxonomy_species_sam	0.7301254	varecia rubra	varanus macraei
taxonomy_species_sam	0.73554206	callorhinus ursinus	urocolius macrourus
taxonomy_species_sam	0.7557385	anthornis melanura	anthus lineiventris
taxonomy_species_sam	0.7402362	equus burchellii	equus asinus
taxonomy_species_sam	0.7207167	panthera leo	panthera tigris
taxonomy_species_sam	0.81464577	phoenicopterus chilensis	phoenicopterus ruber
taxonomy_species_sam	0.78230125	lagonosticta rhodopareia	lagonosticta rubricata
taxonomy_species_sam	0.77785635	equus hemionus	equus asinus
taxonomy_species_sam	0.80030817	anthus novaeseelandiae	anthus lineiventris
taxonomy_species_sam	0.71023166	anthus novaeseelandiae	anthornis melanura
taxonomy_species_sam	0.7015072	pytilia melba	aepyceros melampus
taxonomy_species_sam	0.742029	uroplatus fimbriatus	uroplatus lineatus
taxonomy_species_sam	0.7592828	acrocephalus arundinaceus	arctocephalus forsteri
taxonomy_species_sam	0.7959186	melopsittacus undulatus	melursus ursinus
taxonomy_species_sam	0.701771	callithrix argentata	callithrix geoffroyi
taxonomy_species_sam	0.73715043	callithrix argentata	callorhinus ursinus
taxonomy_species_sam	0.8775765	camaroptera brachyura	camaroptera brevicaudata
taxonomy_species_sam	0.71655333	myrsidea sp	mystacina tuberculata
taxonomy_species_sam	0.82661736	tragelaphus eurycerus	tragelaphus strepsiceros
taxonomy_species_sam	0.7039342	anthreptes collaris	anthornis melanura
taxonomy_species_sam	0.7057675	dendrobates tinctorius	dendrocygna viduata
taxonomy_species_sam	0.7342925	dasyurus maculatus	dasypus novemcinctus
taxonomy_species_sam	0.70259905	ursus arctos	papio ursinus
taxonomy_species_sam	0.7551161	dendrobates azureus	dendrocygna viduata
taxonomy_species_sam	0.81087816	dendrobates azureus	dendrobates tinctorius
taxonomy_species_sam	0.8133694	ammotragus lervia	ammodramus bairdii
taxonomy_species_sam	0.8482832	myiarchus cinerascens	myiarchus crinitus
taxonomy_species_sam	0.72116053	myiarchus cinerascens	myrsidea sp
taxonomy_species_sam	0.72882926	trichoglossus haematodus	tachyglossus aculeatus
taxonomy_species_sam	0.7235658	charadrius obscurus	charadrius vociferus
taxonomy_species_sam	0.79613316	tragulus napu	tragulus javanicus
taxonomy_species_sam	0.721329	muntiacus reevesi	melursus ursinus
taxonomy_species_sam	0.7039853	muntiacus reevesi	melopsittacus undulatus
taxonomy_species_sam	0.7184024	microcebus murinus	muntiacus reevesi
taxonomy_species_sam	0.843861	ammodramus maritimus	ammodramus bairdii
taxonomy_species_sam	0.7939898	ammodramus maritimus	ammotragus lervia
taxonomy_species_sam	0.72529733	bubulcus ibis	bucorvus leadbeateri
taxonomy_species_sam	0.7283469	bubulcus ibis	bubo lacteus
taxonomy_species_sam	0.7030943	urocitellus richardsonii	urocolius macrourus
taxonomy_species_sam	0.8765047	urocitellus richardsonii	urocitellus parryii
taxonomy_species_sam	0.704959	centropus superciliosus	centropus senegalensis
taxonomy_species_sam	0.71917915	myotis lucifugus	myiarchus crinitus
taxonomy_species_sam	0.7151478	myotis lucifugus	myiarchus cinerascens
taxonomy_species_sam	0.80295324	cercocebus chrysogaster	cercopithecus wolfi
taxonomy_species_sam	0.70872486	psarocolius decumanus	physignathus cocincinus
taxonomy_species_sam	0.70220804	cistothorus palustris	contopus sordidulus
taxonomy_species_sam	0.7623459	mandrillus leucophaeus	menacanthus eurysternus
taxonomy_species_sam	0.72903633	equus quagga	equus asinus
taxonomy_species_sam	0.74705863	equus quagga	equus hemionus
