attr	score	s1	s2
tumor_size_sam	0.889356	numeric	numeric numeric
tumor_size_sam	0.7877615	3.5x2	4x3.5x1
tumor_size_sam	0.74608433	2.5x2	4x3.5x1
tumor_size_sam	0.9537071	2.5x2	3.5x2
tumor_size_sam	0.7600913	3.3x2.8	4x3.5x1
tumor_size_sam	0.921672	3.3x2.8	3.5x2
tumor_size_sam	0.8611618	3.3x2.8	2.5x2
tumor_size_sam	0.8084031	500mm3	1000mm3
tumor_size_sam	0.8895371	3.5x2x1.5	4x3.5x1
tumor_size_sam	0.82143253	3.5x2x1.5	3.5x2
tumor_size_sam	0.7684846	3.5x2x1.5	2.5x2
tumor_size_sam	0.8346938	3.5x2x1.5	3.3x2.8
tumor_size_sam	0.7274083	1.7cm	number 3.5cm
tumor_size_sam	0.8576247	number numeric	numeric numeric
tumor_size_sam	0.8769307	number numeric	numeric
tumor_size_sam	0.76007915	3.5×2.5	4x3.5x1
tumor_size_sam	0.94105875	3.5×2.5	3.5x2
tumor_size_sam	0.916363	3.5×2.5	2.5x2
tumor_size_sam	0.9261887	3.5×2.5	3.3x2.8
tumor_size_sam	0.8277968	3.5×2.5	3.5x2x1.5
tumor_size_sam	0.8103664	3x2.5	4x3.5x1
tumor_size_sam	0.9205532	3x2.5	3.5x2
tumor_size_sam	0.8800068	3x2.5	2.5x2
tumor_size_sam	0.8872531	3x2.5	3.3x2.8
tumor_size_sam	0.85771215	3x2.5	3.5x2x1.5
tumor_size_sam	0.8827777	3x2.5	3.5×2.5
tumor_size_sam	0.8817551	5cm	1.7cm
tumor_size_sam	0.80342114	number number	number
tumor_size_sam	0.75221425	=5cm	1.7cm
tumor_size_sam	0.8124932	=5cm	5cm
tumor_size_sam	0.7401086	2.3x2	4x3.5x1
tumor_size_sam	0.9484515	2.3x2	3.5x2
tumor_size_sam	0.96226573	2.3x2	2.5x2
tumor_size_sam	0.8995135	2.3x2	3.3x2.8
tumor_size_sam	0.7889904	2.3x2	3.5x2x1.5
tumor_size_sam	0.8929203	2.3x2	3.5×2.5
tumor_size_sam	0.9062497	2.3x2	3x2.5
tumor_size_sam	0.70605314	7x4	4x3.5x1
tumor_size_sam	0.7607058	1.5x1.3	4x3.5x1
tumor_size_sam	0.7942745	1.5x1.3	3.5x2
tumor_size_sam	0.8007828	1.5x1.3	2.5x2
tumor_size_sam	0.792315	1.5x1.3	3.3x2.8
